,X,Var1,original,value,level1,level2,State,Zone,Region,Purpose,level3
224,224,224,AAAHol,2419.58376087373,A,A,A,A,A,Hol,G1
225,225,225,AAAHol,2173.10592702378,A,A,A,A,A,Hol,G1
226,226,226,AAAHol,2156.27251467644,A,A,A,A,A,Hol,G1
227,227,227,AAAHol,1937.90594159401,A,A,A,A,A,Hol,G1
228,228,228,AAAHol,1774.97569668713,A,A,A,A,A,Hol,G1
229,229,1,AAAVis,1531.54737294784,A,A,A,A,A,Vis,G1
230,230,2,AAAVis,1454.63214409824,A,A,A,A,A,Vis,G1
231,231,3,AAAVis,2182.4003304114,A,A,A,A,A,Vis,G1
232,232,4,AAAVis,1578.11462465739,A,A,A,A,A,Vis,G1
233,233,5,AAAVis,1779.03544770669,A,A,A,A,A,Vis,G1
234,234,6,AAAVis,1665.5634365457,A,A,A,A,A,Vis,G1
235,235,7,AAAVis,1650.83557526069,A,A,A,A,A,Vis,G1
236,236,8,AAAVis,1597.92815127587,A,A,A,A,A,Vis,G1
237,237,9,AAAVis,1642.44215375735,A,A,A,A,A,Vis,G1
238,238,10,AAAVis,1689.75925445592,A,A,A,A,A,Vis,G1
239,239,11,AAAVis,1242.87858925036,A,A,A,A,A,Vis,G1
240,240,12,AAAVis,1545.44714973643,A,A,A,A,A,Vis,G1
241,241,13,AAAVis,1503.79943290647,A,A,A,A,A,Vis,G1
242,242,14,AAAVis,1684.38662874214,A,A,A,A,A,Vis,G1
243,243,15,AAAVis,1913.96412112394,A,A,A,A,A,Vis,G1
244,244,16,AAAVis,1799.18660238799,A,A,A,A,A,Vis,G1
245,245,17,AAAVis,1741.97215996881,A,A,A,A,A,Vis,G1
246,246,18,AAAVis,2091.79912642788,A,A,A,A,A,Vis,G1
247,247,19,AAAVis,1948.95927077279,A,A,A,A,A,Vis,G1
248,248,20,AAAVis,1381.48858378473,A,A,A,A,A,Vis,G1
249,249,21,AAAVis,1485.9859938795,A,A,A,A,A,Vis,G1
250,250,22,AAAVis,2208.35803315744,A,A,A,A,A,Vis,G1
251,251,23,AAAVis,1408.7406046928,A,A,A,A,A,Vis,G1
252,252,24,AAAVis,1908.38064482612,A,A,A,A,A,Vis,G1
253,253,25,AAAVis,1158.06612885828,A,A,A,A,A,Vis,G1
254,254,26,AAAVis,1671.00601096767,A,A,A,A,A,Vis,G1
255,255,27,AAAVis,2109.95076618554,A,A,A,A,A,Vis,G1
256,256,28,AAAVis,1814.35999351362,A,A,A,A,A,Vis,G1
257,257,29,AAAVis,1747.7639519898,A,A,A,A,A,Vis,G1
258,258,30,AAAVis,1892.39726561813,A,A,A,A,A,Vis,G1
259,259,31,AAAVis,1618.42829458533,A,A,A,A,A,Vis,G1
260,260,32,AAAVis,1605.48432026845,A,A,A,A,A,Vis,G1
261,261,33,AAAVis,1760.8697629154,A,A,A,A,A,Vis,G1
262,262,34,AAAVis,1329.14250148538,A,A,A,A,A,Vis,G1
263,263,35,AAAVis,1560.60436464675,A,A,A,A,A,Vis,G1
264,264,36,AAAVis,1808.63268435069,A,A,A,A,A,Vis,G1
265,265,37,AAAVis,1934.59792315731,A,A,A,A,A,Vis,G1
266,266,38,AAAVis,2113.3057670839,A,A,A,A,A,Vis,G1
267,267,39,AAAVis,1674.11062344303,A,A,A,A,A,Vis,G1
268,268,40,AAAVis,1494.78468738889,A,A,A,A,A,Vis,G1
269,269,41,AAAVis,1644.10806702378,A,A,A,A,A,Vis,G1
270,270,42,AAAVis,1872.99836942589,A,A,A,A,A,Vis,G1
271,271,43,AAAVis,2136.48751230602,A,A,A,A,A,Vis,G1
272,272,44,AAAVis,1497.93373882645,A,A,A,A,A,Vis,G1
273,273,45,AAAVis,1513.5323871427,A,A,A,A,A,Vis,G1
274,274,46,AAAVis,1844.92608195471,A,A,A,A,A,Vis,G1
275,275,47,AAAVis,1856.64025216548,A,A,A,A,A,Vis,G1
276,276,48,AAAVis,1825.71719621645,A,A,A,A,A,Vis,G1
277,277,49,AAAVis,1528.47691878666,A,A,A,A,A,Vis,G1
278,278,50,AAAVis,1930.163545535,A,A,A,A,A,Vis,G1
279,279,51,AAAVis,1334.05454625041,A,A,A,A,A,Vis,G1
280,280,52,AAAVis,2033.62451724473,A,A,A,A,A,Vis,G1
281,281,53,AAAVis,1247.39906544745,A,A,A,A,A,Vis,G1
282,282,54,AAAVis,1987.8409847224,A,A,A,A,A,Vis,G1
283,283,55,AAAVis,1804.15483401922,A,A,A,A,A,Vis,G1
284,284,56,AAAVis,1753.50220198566,A,A,A,A,A,Vis,G1
285,285,57,AAAVis,1601.8618086196,A,A,A,A,A,Vis,G1
286,286,58,AAAVis,1834.5808364309,A,A,A,A,A,Vis,G1
287,287,59,AAAVis,1585.23237919545,A,A,A,A,A,Vis,G1
288,288,60,AAAVis,1797.45603323609,A,A,A,A,A,Vis,G1
289,289,61,AAAVis,1717.192653548,A,A,A,A,A,Vis,G1
290,290,62,AAAVis,2050.01971884421,A,A,A,A,A,Vis,G1
291,291,63,AAAVis,2036.99983118597,A,A,A,A,A,Vis,G1
292,292,64,AAAVis,2094.20995054823,A,A,A,A,A,Vis,G1
293,293,65,AAAVis,2046.81553109651,A,A,A,A,A,Vis,G1
294,294,66,AAAVis,2140.83899974826,A,A,A,A,A,Vis,G1
295,295,67,AAAVis,2169.01134740373,A,A,A,A,A,Vis,G1
296,296,68,AAAVis,1295.73872625854,A,A,A,A,A,Vis,G1
297,297,69,AAAVis,1753.34597681105,A,A,A,A,A,Vis,G1
298,298,70,AAAVis,1689.87615522008,A,A,A,A,A,Vis,G1
299,299,71,AAAVis,1670.84629296007,A,A,A,A,A,Vis,G1
300,300,72,AAAVis,2276.07221804726,A,A,A,A,A,Vis,G1
301,301,73,AAAVis,1426.1800268226,A,A,A,A,A,Vis,G1
302,302,74,AAAVis,1905.76898769892,A,A,A,A,A,Vis,G1
303,303,75,AAAVis,1310.26514653466,A,A,A,A,A,Vis,G1
304,304,76,AAAVis,1800.40634160579,A,A,A,A,A,Vis,G1
305,305,77,AAAVis,1659.64793733149,A,A,A,A,A,Vis,G1
306,306,78,AAAVis,2342.54633523754,A,A,A,A,A,Vis,G1
307,307,79,AAAVis,1452.84451936525,A,A,A,A,A,Vis,G1
308,308,80,AAAVis,1744.72103746321,A,A,A,A,A,Vis,G1
309,309,81,AAAVis,1878.29532285959,A,A,A,A,A,Vis,G1
310,310,82,AAAVis,2387.90824132985,A,A,A,A,A,Vis,G1
311,311,83,AAAVis,1713.62059729563,A,A,A,A,A,Vis,G1
312,312,84,AAAVis,2201.35607588526,A,A,A,A,A,Vis,G1
313,313,85,AAAVis,1292.95581591096,A,A,A,A,A,Vis,G1
314,314,86,AAAVis,1903.46539995387,A,A,A,A,A,Vis,G1
315,315,87,AAAVis,1884.59269991603,A,A,A,A,A,Vis,G1
316,316,88,AAAVis,2314.02783288841,A,A,A,A,A,Vis,G1
317,317,89,AAAVis,1570.29122185457,A,A,A,A,A,Vis,G1
318,318,90,AAAVis,1875.26857446273,A,A,A,A,A,Vis,G1
319,319,91,AAAVis,1841.28645236614,A,A,A,A,A,Vis,G1
320,320,92,AAAVis,1664.3445547888,A,A,A,A,A,Vis,G1
321,321,93,AAAVis,1608.25127019006,A,A,A,A,A,Vis,G1
322,322,94,AAAVis,2253.24751077938,A,A,A,A,A,Vis,G1
323,323,95,AAAVis,1464.51000833787,A,A,A,A,A,Vis,G1
324,324,96,AAAVis,2063.07392075093,A,A,A,A,A,Vis,G1
325,325,97,AAAVis,1285.73342126962,A,A,A,A,A,Vis,G1
326,326,98,AAAVis,2338.5259307496,A,A,A,A,A,Vis,G1
327,327,99,AAAVis,1816.28200631029,A,A,A,A,A,Vis,G1
328,328,100,AAAVis,1893.17972290903,A,A,A,A,A,Vis,G1
329,329,101,AAAVis,1881.45236008905,A,A,A,A,A,Vis,G1
330,330,102,AAAVis,2028.04376341295,A,A,A,A,A,Vis,G1
331,331,103,AAAVis,1465.09959997408,A,A,A,A,A,Vis,G1
332,332,104,AAAVis,1443.54384999009,A,A,A,A,A,Vis,G1
333,333,105,AAAVis,1482.43344453994,A,A,A,A,A,Vis,G1
334,334,106,AAAVis,2282.73765531342,A,A,A,A,A,Vis,G1
335,335,107,AAAVis,1687.40577552534,A,A,A,A,A,Vis,G1
336,336,108,AAAVis,1834.05138611585,A,A,A,A,A,Vis,G1
337,337,109,AAAVis,1299.8962462544,A,A,A,A,A,Vis,G1
338,338,110,AAAVis,1948.41007310271,A,A,A,A,A,Vis,G1
339,339,111,AAAVis,1899.91155430279,A,A,A,A,A,Vis,G1
340,340,112,AAAVis,1968.61500407351,A,A,A,A,A,Vis,G1
341,341,113,AAAVis,1783.72107042298,A,A,A,A,A,Vis,G1
342,342,114,AAAVis,2027.52743572747,A,A,A,A,A,Vis,G1
343,343,115,AAAVis,1687.43814544039,A,A,A,A,A,Vis,G1
344,344,116,AAAVis,1766.10966072889,A,A,A,A,A,Vis,G1
345,345,117,AAAVis,1554.96765106273,A,A,A,A,A,Vis,G1
346,346,118,AAAVis,1597.15100953505,A,A,A,A,A,Vis,G1
347,347,119,AAAVis,1626.64367409565,A,A,A,A,A,Vis,G1
348,348,120,AAAVis,2171.51518592113,A,A,A,A,A,Vis,G1
349,349,121,AAAVis,1384.72311649851,A,A,A,A,A,Vis,G1
350,350,122,AAAVis,2322.88427000731,A,A,A,A,A,Vis,G1
351,351,123,AAAVis,1994.62126156185,A,A,A,A,A,Vis,G1
352,352,124,AAAVis,1609.96531915626,A,A,A,A,A,Vis,G1
353,353,125,AAAVis,1481.25823439657,A,A,A,A,A,Vis,G1
354,354,126,AAAVis,2090.72659282507,A,A,A,A,A,Vis,G1
355,355,127,AAAVis,1087.27198285861,A,A,A,A,A,Vis,G1
356,356,128,AAAVis,1479.62560646744,A,A,A,A,A,Vis,G1
357,357,129,AAAVis,1683.19247747798,A,A,A,A,A,Vis,G1
358,358,130,AAAVis,2336.65091082801,A,A,A,A,A,Vis,G1
359,359,131,AAAVis,1346.77423895853,A,A,A,A,A,Vis,G1
360,360,132,AAAVis,2891.37894274055,A,A,A,A,A,Vis,G1
361,361,133,AAAVis,1576.42459306495,A,A,A,A,A,Vis,G1
362,362,134,AAAVis,2142.2346613434,A,A,A,A,A,Vis,G1
363,363,135,AAAVis,1789.62811285349,A,A,A,A,A,Vis,G1
364,364,136,AAAVis,2095.09343273514,A,A,A,A,A,Vis,G1
365,365,137,AAAVis,1672.70472671676,A,A,A,A,A,Vis,G1
366,366,138,AAAVis,2054.56584819272,A,A,A,A,A,Vis,G1
367,367,139,AAAVis,1163.45734707579,A,A,A,A,A,Vis,G1
368,368,140,AAAVis,1612.51864471166,A,A,A,A,A,Vis,G1
369,369,141,AAAVis,1899.62043455364,A,A,A,A,A,Vis,G1
370,370,142,AAAVis,1785.10330006499,A,A,A,A,A,Vis,G1
371,371,143,AAAVis,2220.64672561237,A,A,A,A,A,Vis,G1
372,372,144,AAAVis,2533.90866623419,A,A,A,A,A,Vis,G1
373,373,145,AAAVis,1391.37185454544,A,A,A,A,A,Vis,G1
374,374,146,AAAVis,2515.27339566123,A,A,A,A,A,Vis,G1
375,375,147,AAAVis,1722.48435430357,A,A,A,A,A,Vis,G1
376,376,148,AAAVis,2050.57227821455,A,A,A,A,A,Vis,G1
