,Series,ETS.unweighted ,ARIMA.unweighted ,OLS.unweighted ,ETS.weighted ,ARIMA.weighted ,OLS.weighted ,Actual,date,ForecastInterval
22,Total,26941.87992,25759.44397,26807.55219,27823.89413,27737.76279,26995.32093,30039.10699,22,24Step
23,Total,22483.99048,21742.39755,22406.88896,23885.27871,24816.45834,22656.68118,27320.91891,23,24Step
24,Total,22755.6714,21647.80803,22803.19764,24065.56074,24006.27376,22971.52982,24604.31077,24,24Step
25,State/A,15497.4397,15096.45901,15216.1067,15093.86783,14893.67968,15325.57514,14467.89904,1,24Step
26,State/A,6110.466022,5744.460139,5993.284204,6387.775918,6506.107021,6076.781102,5907.67563,2,24Step
27,State/A,6918.828931,6619.280125,6806.368461,7362.367458,7232.40934,6923.902973,7752.326874,3,24Step
28,State/A,8875.102751,8383.220566,8688.101718,8959.991176,8664.751651,8729.095377,8672.241199,4,24Step
29,State/A,6269.615379,5749.484299,6162.587363,6573.842503,6386.908905,6267.244437,7460.362089,5,24Step
30,State/A,5969.746138,5775.087737,5965.418744,6159.348794,6368.281012,5988.923999,6308.432065,6,24Step
31,State/A,7555.56172,7443.962551,7524.496254,7758.859263,7561.154588,7581.20668,6961.167472,7,24Step
32,State/A,6389.624884,6183.125881,6377.54013,6767.854228,6662.965741,6444.04556,7128.244522,8,24Step
33,State/A,6884.70318,6461.294439,6831.210962,7152.132303,6794.579574,6897.042049,7142.632359,9,24Step
34,State/A,8368.820373,8023.411273,8388.566573,8576.983787,8437.575676,8447.894081,8088.210826,10,24Step
35,State/A,6808.945495,6868.927322,6754.191013,7155.218944,7422.387209,6856.60457,8871.980669,11,24Step
36,State/A,7280.536003,7008.820227,7461.96203,7596.670078,7514.768135,7494.993006,7166.123756,12,24Step
37,State/A,15490.79833,14756.7874,15342.27682,15124.88099,14706.39824,15414.31557,14631.32155,13,24Step
38,State/A,6106.643537,5697.935961,6147.971522,6420.235252,6587.518169,6210.448652,6602.415835,14,24Step
39,State/A,6914.398257,6433.584154,6910.494597,7395.750666,7364.399319,6980.707823,7909.280144,15,24Step
40,State/A,8870.317214,8314.425954,8815.215241,8993.735646,8661.523115,8868.267018,8873.892082,16,24Step
41,State/A,6264.607686,5782.396158,6294.382804,6610.312879,6573.946712,6357.494131,7953.405786,17,24Step
42,State/A,5964.051185,5639.922394,6089.297485,6198.135535,6539.582689,6151.525074,6746.636702,18,24Step
43,State/A,7546.523686,7475.101059,7671.552449,7805.883658,7631.42754,7736.319493,8050.377621,19,24Step
44,State/A,6381.631696,6132.828256,6516.451073,6811.555808,6876.596201,6588.139142,7227.612582,20,24Step
45,State/A,6879.012251,6354.363124,6999.867787,7189.572291,6823.431333,7045.621234,6778.363226,21,24Step
46,State/A,8364.541648,7961.383157,8530.734406,8609.51552,8456.872405,8592.618589,8592.99825,22,24Step
47,State/A,6806.711372,6737.972049,6911.721143,7181.859334,7520.036334,6988.596605,8663.24096,23,24Step
48,State/A,7278.699597,6980.404662,7596.544977,7623.907399,7545.211965,7644.204367,7953.659899,24,24Step
49,State/B,10628.60297,10545.86571,10561.37982,10637.13733,10337.60377,10476.64965,9989.135051,1,24Step
50,State/B,4267.395524,3869.254829,4117.827826,4315.395367,4257.348136,4126.886263,4686.36547,2,24Step
51,State/B,5041.541608,4975.029323,5022.010771,5219.861723,5180.630216,4956.029612,5659.95244,3,24Step
52,State/B,5560.420549,5716.592529,5577.152468,5596.825434,5708.070744,5463.227282,5483.70047,4,24Step
53,State/B,4274.810079,3890.512825,4219.918402,4334.350597,4114.479912,4212.728071,4732.835635,5,24Step
54,State/B,4122.972753,3752.216586,4124.906584,4109.766311,4037.300353,4091.073751,3826.337428,6,24Step
55,State/B,4648.738198,4103.281618,4561.440443,4662.139392,4342.260521,4566.506483,4512.809467,7,24Step
56,State/B,3993.918954,3721.847521,4032.594782,4047.07449,3954.913404,4006.906366,4147.01437,8,24Step
57,State/B,4119.769303,3819.755367,4072.684139,4170.172736,4029.288891,4089.882968,4342.727842,9,24Step
58,State/B,4752.168019,4761.128922,4784.338319,4818.937796,4919.000196,4739.105134,5142.343235,10,24Step
59,State/B,4770.003901,4589.345106,4872.119673,4853.020245,4907.011227,4842.678426,5038.076915,11,24Step
60,State/B,4792.616229,4695.444123,4795.740822,4896.159432,4899.427087,4755.65247,5340.151278,12,24Step
61,State/B,10643.19262,10590.37397,10639.80265,10676.7695,10569.56644,10626.40813,11201.03352,13,24Step
62,State/B,4266.136381,3879.65845,4267.885402,4334.814494,4394.267115,4261.957975,4689.664308,14,24Step
63,State/B,5041.43304,4991.865947,5081.571417,5241.86403,5341.874368,5067.798333,5457.522218,15,24Step
64,State/B,5562.070672,5769.020679,5622.570314,5620.988174,5765.398507,5599.279207,5291.015661,16,24Step
65,State/B,4271.468168,3876.480279,4341.941753,4354.399663,4194.789572,4324.083615,4268.26616,17,24Step
66,State/B,4119.03571,3779.173979,4217.620999,4130.821491,4187.288743,4200.453206,4103.019168,18,24Step
67,State/B,4642.396848,4089.876355,4719.785794,4688.32395,4374.114564,4707.092844,4904.525878,19,24Step
68,State/B,3987.420858,3807.854388,4137.506121,4070.536766,4115.095586,4125.644444,4000.422405,20,24Step
69,State/B,4116.151414,3831.315008,4230.68025,4191.376431,4073.958086,4213.649577,4132.168965,21,24Step
70,State/B,4751.123829,4750.421185,4890.011593,4839.489866,4957.501348,4870.321174,5719.297913,22,24Step
71,State/B,4771.495799,4632.904964,4955.355668,4870.834277,5039.712768,4938.999378,5165.403172,23,24Step
72,State/B,4792.845787,4611.072492,4917.186508,4911.980036,4844.61562,4898.650208,5000.483537,24,24Step
73,State/C,9695.345078,9512.35542,9673.553622,9352.274617,9142.183816,9743.06821,8928.542621,1,24Step
74,State/C,4431.682814,4427.077708,4308.56353,4646.411923,4904.118841,4365.379567,4187.357323,2,24Step
75,State/C,4678.792527,4656.1997,4532.548453,5002.086838,5195.889859,4586.267821,5186.080217,3,24Step
76,State/C,6084.836051,6058.452477,6005.840251,6282.221236,6205.202769,6023.472712,6353.890768,4,24Step
77,State/C,5097.639518,5091.247185,5023.784657,5401.243536,5583.021846,5083.288938,6314.344368,5,24Step
78,State/C,5434.810355,5338.045924,5377.946276,5711.088154,5706.291116,5361.124187,5692.234414,6,24Step
79,State/C,6997.96733,7031.740503,6983.796661,7408.369104,7293.923747,7046.740527,8196.378481,7,24Step
80,State/C,6967.594997,6766.286546,6908.933456,7263.988672,7010.843737,6959.233406,6666.976942,8,24Step
81,State/C,7473.097993,6694.683666,7298.114811,7673.801563,6909.896972,7351.649862,7646.475258,9,24Step
82,State/C,7250.121829,7173.990946,7264.215123,7436.47677,7481.797098,7308.914559,6636.808118,10,24Step
83,State/C,5635.669228,5567.651633,5639.548372,5957.888962,6088.969864,5700.785488,5937.752456,11,24Step
84,State/C,5416.499843,5366.873009,5401.888566,5679.895629,5799.327825,5402.985687,5621.323498,12,24Step
85,State/C,9693.624901,9327.765386,9667.781498,9382.886078,8952.698126,9718.401486,8495.71802,13,24Step
86,State/C,4431.62082,4256.33361,4355.994811,4681.558628,4985.978911,4404.771875,5777.16748,14,24Step
87,State/C,4678.222245,4574.294159,4530.49337,5037.268852,5282.909003,4584.147875,5094.084892,15,24Step
88,State/C,6084.035258,5985.029172,6020.566385,6316.893418,6265.654285,6065.186735,6210.758727,16,24Step
89,State/C,5096.657484,5037.976746,5064.136017,5440.845027,5648.910265,5110.302177,5854.610393,17,24Step
90,State/C,5433.352393,5313.739774,5394.477571,5753.065126,5803.234434,5441.290908,5319.143706,18,24Step
91,State/C,6992.765093,6994.537626,7016.800372,7456.007931,7361.885345,7059.558235,7996.645051,19,24Step
92,State/C,6963.332502,6755.752595,6942.669769,7309.46736,7162.014919,6992.39191,7536.939346,20,24Step
93,State/C,7471.130085,6681.050384,7351.96353,7712.684753,6914.988963,7382.828238,7123.112802,21,24Step
94,State/C,7248.673277,7099.282011,7293.943075,7467.039415,7525.797389,7332.904285,8759.191781,22,24Step
95,State/C,5636.176009,5512.818921,5651.076262,5983.880759,6215.62899,5703.690966,6804.359328,23,24Step
96,State/C,5417.914033,5354.153328,5447.024891,5708.096495,5809.690575,5482.619562,6049.188583,24,24Step
97,State/D,3177.971219,3009.890426,3095.822647,3208.520875,3134.263824,3126.88876,3705.183969,1,24Step
98,State/D,1376.590191,1144.381832,1271.126526,1402.642703,1337.138889,1301.860152,1234.62537,2,24Step
99,State/D,1576.574586,1471.365197,1513.512326,1687.805683,1694.419542,1509.109818,1873.29288,3,24Step
100,State/D,1965.365994,1751.926005,1934.985214,1975.281627,1924.248032,1921.908613,1688.699857,4,24Step
101,State/D,1483.108823,1296.133602,1431.400213,1519.201112,1471.558328,1439.314436,1503.773352,5,24Step
102,State/D,1324.097725,1198.091688,1268.281665,1319.098018,1352.842807,1236.15278,1172.252119,6,24Step
103,State/D,1598.118408,1370.695015,1554.436132,1599.167366,1490.390289,1527.625414,1248.339624,7,24Step
104,State/D,1267.61889,1183.027606,1207.394272,1308.743185,1241.671591,1199.33248,1299.440434,8,24Step
105,State/D,1413.307156,1189.529437,1322.71009,1425.984121,1319.974299,1332.074957,1278.933403,9,24Step
106,State/D,1847.858988,1728.09544,1816.283769,1850.034703,1856.564432,1816.348068,2130.846154,10,24Step
107,State/D,1486.584322,1383.988899,1471.28959,1515.202563,1585.209296,1443.444968,1513.434502,11,24Step
108,State/D,1558.005981,1408.217375,1515.811696,1622.320214,1646.114444,1514.511312,1871.762793,12,24Step
109,State/D,3170.403713,2844.448347,3100.112892,3216.59495,3113.415662,3103.549834,3050.230028,13,24Step
110,State/D,1369.451596,1051.358534,1286.403871,1407.283777,1367.821875,1292.325579,1800.689885,14,24Step
111,State/D,1569.055605,1375.005151,1528.830373,1692.898531,1755.566356,1534.991556,1943.733195,15,24Step
112,State/D,1958.521146,1630.474538,1916.627018,1981.34576,1903.795818,1911.638915,1901.670489,16,24Step
113,State/D,1475.330144,1232.790761,1423.879719,1524.859583,1514.030758,1424.453261,1881.462572,17,24Step
114,State/D,1315.577572,1124.548159,1269.431384,1325.041896,1393.483678,1267.413302,1314.592869,18,24Step
115,State/D,1587.175644,1328.256344,1563.076263,1607.500542,1521.352516,1561.695863,2034.755553,19,24Step
116,State/D,1256.982115,1139.696012,1228.477909,1315.817019,1289.986869,1232.15414,1230.3217,20,24Step
117,State/D,1405.323835,1162.143703,1357.646261,1432.343633,1341.928341,1355.73162,1632.732153,21,24Step
118,State/D,1841.997791,1678.568737,1835.759726,1856.115072,1894.476955,1834.190631,1900.476487,22,24Step
119,State/D,1481.596973,1310.615316,1476.479186,1519.564407,1630.671138,1476.94168,1543.299435,23,24Step
120,State/D,1552.589593,1297.30207,1508.60429,1625.500294,1549.402977,1501.552018,1378.418048,24,24Step
121,State/E,4099.891138,4727.050721,4067.880464,4690.993053,4959.847318,4175.701351,4366.029767,1,24Step
122,State/E,2337.406385,2529.458435,2087.286035,2604.968862,2636.943526,2131.466787,2734.31321,2,24Step
123,State/E,2745.922084,3081.746222,2522.360645,3032.249808,3241.614457,2637.65518,3177.865032,3,24Step
124,State/E,3180.187075,3395.038049,2987.195524,3516.911181,3656.955807,3084.984508,3902.637363,4,24Step
125,State/E,2579.330711,2741.833557,2239.666495,2825.345983,2831.062321,2342.546296,2692.658805,5,24Step
126,State/E,2842.725757,3039.274969,2568.118203,3018.754171,3047.689296,2609.621867,2669.549091,6,24Step
127,State/E,3302.878088,3301.096324,2906.950473,3396.931739,3371.097756,2996.03392,3098.333171,7,24Step
128,State/E,3029.74246,2723.293998,2570.158531,3159.833563,2881.35036,2725.555544,3471.119861,8,24Step
129,State/E,3105.080471,3058.133586,2767.168558,3301.689425,3193.980597,2852.369611,3536.384785,9,24Step
130,State/E,3368.732031,3261.568434,3101.1303,3602.715753,3419.278055,3182.155189,3495.863847,10,24Step
131,State/E,2594.543511,2627.282525,2415.954705,3002.975118,2958.794912,2565.135816,3702.734933,11,24Step
132,State/E,2691.481107,2690.509367,2484.681337,3012.361019,3041.151107,2545.245603,3662.918391,12,24Step
133,State/E,4129.963683,4817.616836,4021.679045,4734.144447,5303.527913,4120.265015,6153.800933,13,24Step
134,State/E,2371.796923,2657.309029,2145.868981,2636.817848,2802.533843,2226.233512,2634.39177,14,24Step
135,State/E,2782.348423,3054.796802,2559.276528,3066.458632,3290.278256,2650.176484,3111.716156,15,24Step
136,State/E,3215.530979,3403.442679,3033.241187,3552.29971,3793.346994,3108.564401,4025.360628,16,24Step
137,State/E,2622.009237,2742.22064,2309.524987,2863.182241,2913.943611,2393.515956,3210.782734,17,24Step
138,State/E,2889.899631,3052.817877,2599.270318,3060.016991,3104.692384,2681.901198,3178.263815,18,24Step
139,State/E,3371.32682,3303.374699,2969.158532,3453.73005,3404.743816,3056.181757,3709.60489,19,24Step
140,State/E,3093.098475,2712.661125,2666.371126,3212.255196,2951.991373,2762.766014,2868.505157,20,24Step
141,State/E,3151.743273,3149.486139,2870.1404,3342.546507,3292.760337,2943.158179,3327.06477,21,24Step
142,State/E,3404.586007,3269.012785,3183.781732,3634.990236,3502.038671,3263.898647,3704.651986,22,24Step
143,State/E,2617.333734,2721.724279,2450.820647,3026.550547,3083.626929,2555.165378,3698.431886,23,24Step
144,State/E,2713.62378,2826.040102,2551.597046,3034.177988,3121.073134,2623.178377,2844.820274,24,24Step
145,State/F,1664.756328,1797.360715,1602.92235,1766.746018,1814.775768,1668.418947,2343.664385,1,24Step
146,State/F,909.5491275,703.2411476,803.003819,946.5094863,902.4306525,827.2405039,924.0577022,2,24Step
147,State/F,984.6464844,858.7483048,935.4178722,1007.226416,1011.347776,949.9651053,926.554341,3,24Step
148,State/F,899.9757262,790.7255819,818.6975156,957.6979515,910.8091898,822.0872333,771.3497865,4,24Step
149,State/F,644.2270172,583.3820907,560.462299,659.4066158,692.6914078,587.2968145,723.2742701,5,24Step
150,State/F,611.093841,525.2415234,531.0411284,612.3682821,625.6450066,520.3316007,599.3017198,6,24Step
151,State/F,593.3502523,413.1911147,489.9561119,609.2048866,528.5555969,506.6927725,615.5409472,7,24Step
152,State/F,433.5287781,386.0944226,366.7149538,443.0818519,454.7964919,383.280537,433.9255811,8,24Step
153,State/F,524.5878201,307.450462,415.4343398,536.1634047,444.3053291,446.7120302,496.3697982,9,24Step
154,State/F,693.0450901,636.7042122,584.2921695,726.029635,747.3336074,605.7910551,846.9560533,10,24Step
155,State/F,704.1890924,587.777512,638.368224,768.5724722,799.641307,648.184953,1008.986557,11,24Step
156,State/F,678.5179627,430.0879407,594.1088594,751.5774451,694.7347754,605.5087974,903.1237441,12,24Step
157,State/F,1655.920339,1642.202589,1573.034549,1765.68704,1732.751635,1593.681909,1484.925422,13,24Step
158,State/F,902.6140361,555.8757331,792.8782767,944.6891969,871.801137,811.3134765,1233.244389,14,24Step
159,State/F,977.2265963,792.6468259,889.3172557,1005.21176,1043.036964,905.4347116,1026.518635,15,24Step
160,State/F,892.3363064,717.5421452,790.7259988,955.7787444,924.7649584,801.3994005,813.3269864,16,24Step
161,State/F,636.2990748,539.6382033,537.142809,657.187177,712.6497703,551.5549886,754.3838139,17,24Step
162,State/F,602.5932709,472.531176,492.6326286,609.9433644,640.791162,504.0295196,587.5796872,18,24Step
163,State/F,582.1636413,373.4097834,457.3280788,606.4129074,530.1649948,472.7728405,576.5367727,19,24Step
164,State/F,423.191159,320.1979078,327.2185868,440.4391844,453.9552768,345.2615285,355.5157126,20,24Step
165,State/F,516.1334472,279.9054207,405.6080363,533.7657046,450.4448588,418.0396451,525.3029738,21,24Step
166,State/F,685.7906215,609.3295111,561.0064225,723.852071,770.9194891,575.6846958,895.1803819,22,24Step
167,State/F,698.5570429,546.3746682,598.2174425,766.8896309,810.7769005,612.0512322,852.3135626,23,24Step
168,State/F,673.1825771,404.1644997,566.0435004,749.6061251,698.4406414,576.5119458,876.3519284,24,24Step
169,State/G,388.4962088,277.7658426,296.0471275,408.5771686,395.6225723,321.8695393,272.2844125,1,24Step
170,State/G,300.4137753,175.1600622,178.3718981,319.2775402,377.84454,220.9299887,256.3546634,2,24Step
171,State/G,368.9380075,401.9263139,297.4115382,436.1263004,487.9087086,312.8612756,411.0762331,3,24Step
172,State/G,443.5655873,386.5645834,383.0012658,481.0714911,534.7254167,401.4183945,719.8928672,4,24Step
173,State/G,546.4706044,356.3801943,476.1262686,584.9217493,519.7694696,494.7145973,421.5626016,5,24Step
174,State/G,660.4896409,513.2838008,601.186991,685.8966299,656.3827909,594.8215418,1192.163127,6,24Step
175,State/G,862.4572144,663.4828513,844.2861413,983.2563132,856.0095066,871.8447059,1405.108199,7,24Step
176,State/G,948.5346832,691.8887306,816.2583064,963.7048414,781.6022972,830.4806952,855.8250669,8,24Step
177,State/G,631.6980158,485.4603644,551.2708525,689.8237488,660.8723525,581.7936658,459.1374653,9,24Step
178,State/G,649.9211648,434.801527,535.3035488,682.1123301,636.4998541,552.0397717,843.0337865,10,24Step
179,State/G,475.3499185,361.3449705,397.8324542,527.1519742,512.4827729,408.1214627,490.1765704,11,24Step
180,State/G,329.7677379,208.6412146,230.5416826,404.1088778,409.6706685,246.51097,416.6209907,12,24Step
181,State/G,382.255917,188.9489432,270.2812062,420.6524703,443.7836486,291.6148703,608.4583232,13,24Step
182,State/G,295.9592974,95.04926401,187.7750827,330.1282027,399.9414537,231.6641609,490.3546422,14,24Step
183,State/G,364.0281304,324.7538002,267.4757998,447.3759761,525.5762882,297.4574364,613.693592,15,24Step
184,State/G,438.4494836,320.1512977,356.3145433,492.458125,540.0669967,369.9905304,465.69675,16,24Step
185,State/G,541.0835111,314.2111043,454.2951606,597.5072955,555.008043,469.5997053,566.3104436,17,24Step
186,State/G,654.5646147,453.1872553,568.5512374,699.3896519,662.618366,582.8356493,523.7540981,18,24Step
187,State/G,854.008927,618.8599204,822.2141616,1000.794074,857.7773207,836.6535733,1188.128989,19,24Step
188,State/G,940.8840453,655.6364638,791.9735693,980.2087242,795.7310404,810.693979,881.1297299,20,24Step
189,State/G,625.8164004,485.984877,555.567124,703.1440516,678.6556782,569.6062059,1281.288869,21,24Step
190,State/G,645.1667454,391.4465828,512.3152397,692.8919482,630.1565304,525.702908,467.3101863,22,24Step
191,State/G,472.1195547,279.9873538,363.2186076,535.6997537,516.0052766,381.2359384,593.8705649,23,24Step
192,State/G,326.8160373,174.6708721,216.1964315,412.2924038,437.8388467,244.8133462,501.3885057,24,24Step
193,Zone/AA,4001.2842,3924.07215,3848.602262,3915.774608,3913.89415,3885.002624,4223.603286,1,24Step
194,Zone/AA,1888.835233,1724.504389,1845.956292,1970.57538,1950.700063,1869.408766,2024.159599,2,24Step
195,Zone/AA,2123.560368,2184.987481,2051.994584,2186.360339,2256.218426,2072.343154,2449.512655,3,24Step
196,Zone/AA,2369.746275,2217.893319,2304.842301,2408.665012,2272.392374,2317.214257,2326.251952,4,24Step
197,Zone/AA,1949.839163,1841.621974,1904.414795,2047.570369,2013.524866,1933.449581,2552.110484,5,24Step
198,Zone/AA,1903.296359,1855.168833,1906.637304,1973.565557,2005.71843,1909.015055,2105.59422,6,24Step
199,Zone/AA,2288.385145,2238.22686,2272.568032,2276.863378,2251.388835,2275.263707,1873.224634,7,24Step
200,Zone/AA,1927.6834,1836.915816,1914.395456,2012.1267,1945.918262,1918.621497,1977.86231,8,24Step
201,Zone/AA,2100.932363,1958.500677,2063.494478,2160.24814,2030.674547,2074.084265,2401.969501,9,24Step
202,Zone/AA,2517.821535,2375.605299,2486.95728,2544.875232,2437.105012,2492.888495,2335.378492,10,24Step
203,Zone/AA,2135.648835,2027.282489,2152.861265,2231.585596,2212.22157,2168.244827,2481.750007,11,24Step
204,Zone/AA,2305.292525,2236.941608,2337.625282,2370.483681,2370.902445,2333.708487,2107.393803,12,24Step
205,Zone/AA,3996.610484,3834.276631,3857.288654,3913.589111,3802.686882,3869.779119,3507.91399,13,24Step
206,Zone/AA,1884.239342,1692.763328,1902.482485,1968.594299,1938.211243,1912.080081,1892.055515,14,24Step
207,Zone/AA,2118.870606,2080.07112,2108.406477,2184.355013,2224.919483,2120.978927,1928.821859,15,24Step
208,Zone/AA,2365.06714,2175.567416,2358.259591,2406.674632,2263.196853,2369.644617,2313.263762,16,24Step
209,Zone/AA,1945.010575,1802.752218,1962.697282,2045.731064,2013.852005,1974.667812,2401.826161,17,24Step
210,Zone/AA,1898.33589,1799.831991,1959.746305,1971.831457,2024.466022,1971.565119,2060.940754,18,24Step
211,Zone/AA,2282.886229,2202.208204,2325.69719,2274.577468,2215.994583,2336.528773,2150.640692,19,24Step
212,Zone/AA,1922.362459,1787.549244,1975.137516,2009.920046,1953.328901,1988.522934,2305.649511,20,24Step
213,Zone/AA,2096.017004,1931.590772,2136.450918,2158.335881,2045.734585,2147.433655,2061.246613,21,24Step
214,Zone/AA,2513.201247,2345.807424,2548.373381,2542.630589,2421.468929,2558.361223,2267.174784,22,24Step
215,Zone/AA,2131.336748,1963.713675,2203.969211,2229.598115,2213.433102,2218.535093,2786.280116,23,24Step
216,Zone/AA,2301.021036,2222.192354,2409.151934,2368.874267,2394.716094,2415.314083,2676.459548,24,24Step
217,Zone/AB,4931.791507,4936.208737,4928.210511,4901.080761,4835.471659,4914.188722,4030.390183,1,24Step
218,Zone/AB,1693.857324,1542.206004,1705.430678,1794.803134,1810.935592,1713.09475,1681.874987,2,24Step
219,Zone/AB,1851.111371,1794.473855,1858.600718,2067.093019,2043.644242,1903.633007,2124.505063,3,24Step
220,Zone/AB,2492.303272,2381.3007,2437.808916,2586.236146,2528.247581,2461.120976,2620.402462,4,24Step
221,Zone/AB,1586.486733,1529.777549,1589.777855,1728.769776,1695.195898,1629.394307,2026.664041,5,24Step
222,Zone/AB,1481.833184,1413.38158,1459.082354,1564.992685,1603.044882,1490.786244,1300.5249,6,24Step
223,Zone/AB,1856.564205,1856.094413,1879.769155,1966.959883,1901.906871,1912.45931,1731.584468,7,24Step
224,Zone/AB,1642.715633,1599.581667,1670.827278,1796.027755,1749.62502,1713.604793,1841.123842,8,24Step
225,Zone/AB,1798.075611,1751.041752,1838.421323,1944.903265,1861.749936,1855.526777,1839.418888,9,24Step
226,Zone/AB,2236.262003,2198.450532,2278.144754,2349.659625,2360.182191,2304.477595,2058.114076,10,24Step
227,Zone/AB,1864.647403,1844.22289,1935.835258,2025.952262,2032.131553,1982.470963,2614.287386,11,24Step
228,Zone/AB,1988.667722,2003.521002,2059.355413,2093.617198,2166.292232,2094.350078,2084.694399,12,24Step
229,Zone/AB,4923.259963,4950.488486,4989.586559,4910.259435,4990.609638,5021.080527,5358.049207,13,24Step
230,Zone/AB,1688.114159,1560.451063,1720.414495,1805.189997,1869.777921,1747.100095,1989.568099,14,24Step
231,Zone/AB,1845.178153,1762.301334,1888.830221,2077.989268,2101.405684,1920.905249,2519.785492,15,24Step
232,Zone/AB,2485.825781,2393.003942,2456.536395,2596.767129,2584.437125,2478.493166,2776.414244,16,24Step
233,Zone/AB,1580.690439,1533.392038,1621.377777,1741.074159,1755.92474,1648.342938,2087.62966,17,24Step
234,Zone/AB,1475.969365,1403.453636,1506.792563,1578.342201,1670.158451,1533.450051,1750.754521,18,24Step
235,Zone/AB,1849.982597,1877.157955,1918.054965,1983.461515,1977.397412,1946.827568,2172.872049,19,24Step
236,Zone/AB,1636.404066,1589.018436,1708.243534,1811.280953,1812.753454,1738.557635,1872.23814,20,24Step
237,Zone/AB,1792.043629,1720.663943,1857.35547,1957.53476,1861.207859,1879.185969,1834.68201,21,24Step
238,Zone/AB,2230.056317,2184.163998,2282.713246,2359.297566,2383.69454,2308.884438,2654.233485,22,24Step
239,Zone/AB,1859.119441,1790.166734,1913.737689,2033.792981,2066.286403,1946.740308,2537.103416,23,24Step
240,Zone/AB,1983.187369,1986.585436,2078.371263,2101.261791,2128.024334,2101.02111,2079.657819,24,24Step
241,Zone/AC,3032.287954,3206.245529,3120.369539,2955.68069,3015.044594,3143.095544,2765.882905,1,24Step
242,Zone/AC,807.7920454,669.8653178,798.6324178,828.9752422,840.0784206,806.8944894,800.6792133,2,24Step
243,Zone/AC,862.3359115,741.7286248,884.9018251,947.0921445,866.2791635,909.083978,1235.941227,3,24Step
244,Zone/AC,1197.62243,1106.366104,1191.064698,1165.616648,1078.758288,1190.436736,1116.071657,4,24Step
245,Zone/AC,715.1692155,525.2149222,646.5688239,710.2681092,634.7581517,661.3693606,869.0912121,5,24Step
246,Zone/AC,571.1618135,543.7951149,550.7841332,580.0992681,661.8490966,548.8245693,769.6708957,6,24Step
247,Zone/AC,682.3142499,655.4221226,677.8941617,687.6904546,651.6826042,675.8997758,529.5716597,7,24Step
248,Zone/AC,577.2708505,510.9831717,540.5033069,603.0204265,597.9169578,543.1141331,840.7129406,8,24Step
249,Zone/AC,584.352321,513.0002853,562.0721461,600.6286055,562.4851222,572.6085248,713.7146559,9,24Step
250,Zone/AC,905.2756305,903.4786443,899.1840208,906.5630395,934.3761427,899.2593381,722.4996773,10,24Step
251,Zone/AC,711.4158305,711.5454913,681.8074286,731.6161246,827.5505614,690.7745965,1004.367085,11,24Step
252,Zone/AC,894.2508145,839.7616164,887.4664631,882.9844891,860.855483,882.473406,829.2701471,12,24Step
253,Zone/AC,3053.213194,3114.198814,3101.728642,2964.784905,2872.284896,3101.539171,2816.007538,13,24Step
254,Zone/AC,828.62829,693.6823873,823.2947821,839.5116391,884.8372957,828.2422786,901.0228138,14,24Step
