,Series,ARIMA.rec,ARIMA.unrec,OLS.rec,OLS.unrec,ARIMAX.rec,ARIMAX.unrec,OLSX.rec,OLSX.unrec,Actual,date,ForecastInterval
70,State/B,4750.421185,5084.247388,4230.67593,4198.767247,4618.452285,4918.406858,4230.590734,4200.700489,5719.297913,22,24Step
71,State/B,4632.904964,4876.024372,4554.846346,4490.802526,4652.954734,5016.027114,4540.094974,4475.653862,5165.403172,23,24Step
72,State/B,4611.072492,4936.263739,4493.679927,4527.055166,4622.046017,4920.640558,4500.369613,4517.227305,5000.483537,24,24Step
73,State/C,9512.35542,9389.585916,9733.740829,9615.921374,9531.934681,9433.794639,9724.069917,9610.52458,8928.542621,1,24Step
74,State/C,4427.077708,4365.782475,5461.751367,4791.903985,4416.703139,4423.411224,5456.012537,4803.04769,4187.357323,2,24Step
75,State/C,4656.1997,4564.230463,4343.358289,4036.771237,4566.476532,4506.464022,4301.202512,3952.550648,5186.080217,3,24Step
76,State/C,6058.452477,6108.293046,5630.554721,5796.685231,6238.399603,6393.685492,4939.965823,5064.803109,6353.890768,4,24Step
77,State/C,5091.247185,5035.863199,4666.317962,4779.026489,5097.777338,5139.10147,5124.429396,5331.572256,6314.344368,5,24Step
78,State/C,5338.045924,5322.035626,5108.180917,5199.78808,5358.811151,5450.498852,5262.970292,5354.668125,5692.234414,6,24Step
79,State/C,7031.740503,7110.111881,6776.74075,6929.464753,7016.763872,7232.049109,6828.008803,6961.061607,8196.378481,7,24Step
80,State/C,6766.286546,6794.640163,7052.976664,7041.746263,6778.36832,6906.383761,7063.789559,7061.34405,6666.976942,8,24Step
81,State/C,6694.683666,6759.769309,7518.027774,7445.320242,6717.977208,6860.047982,7573.064378,7511.358293,7646.475258,9,24Step
82,State/C,7173.990946,7205.679147,7354.451375,7307.066949,7186.998698,7298.452995,7401.605238,7358.671945,6636.808118,10,24Step
83,State/C,5567.651633,5530.169995,5653.596838,5530.094039,5538.911691,5622.296613,5677.631034,5557.086178,5937.752456,11,24Step
84,State/C,5366.873009,5320.148298,5098.360708,5065.069455,5361.166566,5405.337815,5113.286982,5055.478893,5621.323498,12,24Step
85,State/C,9327.765386,9329.946687,9329.760101,9388.822679,9343.28085,9401.402008,9293.78332,9323.333964,8495.71802,13,24Step
86,State/C,4256.33361,4244.660081,5272.717252,4745.914339,4240.015984,4335.244249,5257.846511,4738.86665,5777.16748,14,24Step
87,State/C,4574.294159,4580.331159,4242.484774,4026.011913,5064.144948,5198.689354,4195.094737,3936.787996,5094.084892,15,24Step
88,State/C,5985.029172,6120.93781,5570.344222,5792.779101,5507.753996,5656.066997,5665.238991,5848.362877,6210.758727,16,24Step
89,State/C,5037.976746,5048.101253,4628.700387,4776.45348,5018.788889,5120.618202,4553.362548,4711.055435,5854.610393,17,24Step
90,State/C,5313.739774,5403.321515,5083.648073,5197.474397,5280.89935,5456.858371,5099.31917,5218.117469,5319.143706,18,24Step
91,State/C,6994.537626,7127.945526,6760.027355,6927.201516,6957.039221,7201.085968,6754.508394,6929.586534,7996.645051,19,24Step
92,State/C,6755.752595,6856.109451,7041.073541,7039.492838,6740.212085,6903.647255,7024.041509,7052.682305,7536.939346,20,24Step
93,State/C,6681.050384,6780.449777,7509.179474,7443.068727,6656.445811,6810.032029,7547.726243,7507.649628,7123.112802,21,24Step
94,State/C,7099.282011,7218.776131,7347.589049,7304.815805,7092.187111,7277.558355,7384.476803,7356.038661,8759.191781,22,24Step
95,State/C,5512.818921,5563.079496,5648.12928,5527.842967,5476.474712,5608.830919,5665.612,5554.686374,6804.359328,23,24Step
96,State/C,5354.153328,5389.064874,5093.814996,5062.818397,5320.798028,5423.532225,5104.537491,5053.12978,6049.188583,24,24Step
97,State/D,3009.890426,3014.102868,3162.936471,3083.358771,2998.874595,3014.90083,3156.913522,3082.417054,3705.183969,1,24Step
98,State/D,1144.381832,1182.865797,2054.602917,1453.338486,1110.614053,1183.849075,2037.04191,1440.181794,1234.62537,2,24Step
99,State/D,1471.365197,1531.908609,1632.444917,1413.559488,1455.673847,1507.816389,1662.184629,1391.437642,1873.29288,3,24Step
100,State/D,1751.926005,1870.449532,1516.159686,1601.948163,1768.089884,1893.995833,1437.447036,1493.041142,1688.699857,4,24Step
101,State/D,1296.133602,1346.748464,1354.599966,1465.851154,1247.547827,1347.124302,1361.941657,1590.657792,1503.773352,5,24Step
102,State/D,1198.091688,1220.546817,1067.159454,1161.574902,1147.457274,1220.532292,1091.285665,1177.979102,1172.252119,6,24Step
103,State/D,1370.695015,1443.419137,1275.575368,1388.128809,1302.853924,1444.295655,1295.862104,1391.475988,1248.339624,7,24Step
104,State/D,1183.027606,1189.752436,1176.979394,1170.476578,1136.249809,1189.593663,1172.880133,1172.091479,1299.440434,8,24Step
105,State/D,1189.529437,1261.451203,1305.048044,1267.699923,1150.512848,1262.050512,1311.94156,1270.485732,1278.933403,9,24Step
106,State/D,1728.09544,1819.908254,1737.001796,1701.865572,1710.074786,1819.366409,1744.879197,1700.612802,2130.846154,10,24Step
107,State/D,1383.988899,1468.922274,1528.469611,1468.35829,1331.286043,1468.318171,1528.687046,1465.414601,1513.434502,11,24Step
108,State/D,1408.217375,1490.173351,1417.618888,1408.483165,1389.552307,1489.526909,1436.094112,1408.032361,1871.762793,12,24Step
109,State/D,2844.448347,3014.102868,2953.585721,2968.171964,2820.213592,3014.90083,2964.462245,2966.486473,3050.230028,13,24Step
110,State/D,1051.358534,1182.865797,1935.909428,1434.635059,1001.96726,1183.849075,1922.207603,1421.54673,1800.689885,14,24Step
111,State/D,1375.005151,1531.908609,1555.931419,1406.976717,1449.903427,1618.3654,1584.318055,1384.873362,1943.733195,15,24Step
112,State/D,1630.474538,1870.449532,1465.48027,1596.888041,1542.895052,1783.446822,1511.955365,1618.912253,1901.670489,16,24Step
113,State/D,1232.790761,1346.748464,1320.171375,1460.982314,1183.682316,1347.124302,1296.738475,1471.083545,1881.462572,17,24Step
114,State/D,1124.548159,1220.546817,1042.842267,1156.730092,1070.050663,1220.532292,1043.125116,1158.891994,1314.592869,18,24Step
115,State/D,1328.256344,1443.419137,1257.60814,1383.287017,1257.659875,1444.295655,1253.441267,1384.855626,2034.755553,19,24Step
116,State/D,1139.696012,1189.752436,1163.052197,1165.635165,1098.453648,1189.593663,1139.781381,1167.01778,1230.3217,20,24Step
117,State/D,1162.143703,1261.451203,1293.765572,1262.858558,1119.938058,1262.050512,1286.951261,1265.603917,1632.732153,21,24Step
118,State/D,1678.568737,1819.908254,1727.514148,1697.024213,1652.34769,1819.366409,1726.109579,1695.754792,1900.476487,22,24Step
119,State/D,1310.615316,1468.922274,1520.252788,1463.516932,1259.658308,1468.318171,1514.337924,1460.559545,1543.299435,23,24Step
120,State/D,1297.30207,1490.173351,1410.270613,1403.641807,1266.795514,1489.526909,1424.761098,1403.177672,1378.418048,24,24Step
121,State/E,4727.050721,4715.108346,4136.701148,4110.221934,4723.033901,4716.727215,4133.694463,4111.653259,4366.029767,1,24Step
122,State/E,2529.458435,2517.719077,3187.018663,2889.11284,2504.813099,2519.560327,3177.07957,2884.044103,2734.31321,2,24Step
123,State/E,3081.746222,3209.450428,2456.369721,2428.781025,3052.553567,3178.942037,2470.699156,2390.647736,3177.865032,3,24Step
124,State/E,3395.038049,3585.940256,2580.695015,2716.470965,3412.677896,3615.799265,2459.652927,2561.739269,3902.637363,4,24Step
125,State/E,2741.833557,2763.86659,2047.257133,2091.22731,2701.790446,2763.093545,2037.032823,2151.172583,2692.658805,5,24Step
126,State/E,3039.274969,3124.773231,2058.242119,2100.331565,3001.555427,3126.413256,2108.959444,2145.56793,2669.549091,6,24Step
127,State/E,3301.096324,3376.900732,2475.803574,2511.334686,3245.349788,3377.076243,2511.6751,2545.336688,3098.333171,7,24Step
128,State/E,2723.293998,2643.711983,2461.890207,2410.913489,2684.740034,2642.588337,2466.968077,2428.053695,3471.119861,8,24Step
129,State/E,3058.133586,3138.625608,2613.101653,2552.76841,3029.823248,3139.586594,2625.017514,2567.078772,3536.384785,9,24Step
130,State/E,3261.568434,3499.845288,2930.837455,2908.826922,3247.236086,3499.762998,2944.069015,2922.359494,3495.863847,10,24Step
131,State/E,2627.282525,2681.029665,2343.370627,2329.945747,2588.488673,2685.020791,2348.581815,2336.800679,3702.734933,11,24Step
132,State/E,2690.509367,2709.227726,2054.229387,2048.084487,2677.996881,2712.111291,2074.360133,2055.487126,3662.918391,12,24Step
133,State/E,4817.616836,4972.524619,3512.006396,3488.230479,4800.769286,4973.482634,3525.223789,3495.226923,6153.800933,13,24Step
134,State/E,2657.309029,2774.865137,2773.723341,2471.728091,2619.138026,2775.903421,2767.928109,2469.335799,2634.39177,14,24Step
135,State/E,3054.796802,3325.6161,2183.650725,2149.757894,3138.75445,3405.258539,2197.121384,2112.701769,3111.716156,15,24Step
136,State/E,3403.442679,3729.959882,2402.278147,2531.012396,3300.937713,3651.762181,2444.810661,2558.127068,4025.360628,16,24Step
137,State/E,2742.22064,2861.563901,1930.990186,1969.0401,2703.177256,2862.213357,1909.352727,1970.334113,3210.782734,17,24Step
138,State/E,3052.817877,3340.126316,1983.15607,2020.930477,3011.383791,3341.190968,1986.081602,2026.182826,3178.263815,18,24Step
139,State/E,3303.374699,3511.657099,2428.118471,2460.866946,3246.598114,3512.471218,2426.327339,2467.616207,3709.60489,19,24Step
140,State/E,2712.661125,2706.771395,2432.573653,2380.011407,2680.316613,2707.361268,2410.843846,2378.581314,2868.505157,20,24Step
141,State/E,3149.486139,3303.617444,2596.209065,2535.097253,3117.828897,3304.561667,2589.945597,2536.758256,3327.06477,21,24Step
142,State/E,3269.012785,3606.964394,2922.378929,2900.102941,3247.946639,3607.725202,2923.484544,2905.023705,3704.651986,22,24Step
143,State/E,2721.724279,2992.590658,2340.747449,2327.272134,2682.644791,2994.044074,2337.960622,2328.268374,3698.431886,23,24Step
144,State/E,2826.040102,2960.255497,2055.771517,2049.502326,2804.23089,2961.512065,2070.65993,2052.923476,2844.820274,24,24Step
145,State/F,1797.360715,1816.989347,1724.534861,1644.291007,1786.002301,1816.665174,1720.166308,1644.061326,2343.664385,1,24Step
146,State/F,703.2411476,676.6717711,1496.251577,945.0753776,673.1003251,676.0985837,1486.591478,943.2967209,924.0577022,2,24Step
147,State/F,858.7483048,913.1297078,1083.07558,870.1496663,853.949101,899.3310994,1122.967688,863.7073756,926.554341,3,24Step
148,State/F,790.7255819,891.0233151,654.2058344,806.2456574,787.0423485,905.5151219,635.3205576,766.7920115,771.3497865,4,24Step
149,State/F,583.3820907,634.0993214,571.17721,619.3160556,539.7276289,634.3716898,512.3068321,655.6658616,723.2742701,5,24Step
150,State/F,525.2415234,562.2513653,462.458489,537.6091939,482.0799862,562.5755804,481.81913,546.82018,599.3017198,6,24Step
151,State/F,413.1911147,434.3480083,395.9877552,521.2983768,355.840441,434.3855877,412.0067116,522.9231235,615.5409472,7,24Step
152,State/F,386.0944226,386.642363,417.3269687,404.1558043,345.9597062,386.5844494,413.8822501,404.4418485,433.9255811,8,24Step
153,State/F,307.450462,328.8588465,511.9737677,470.0878075,274.1545405,328.9009491,516.7111998,470.2739621,496.3697982,9,24Step
154,State/F,636.7042122,718.9208814,661.392141,645.013488,618.9100152,719.4284778,668.2756224,644.5615733,846.9560533,10,24Step
155,State/F,587.777512,684.7556506,761.6392624,689.0216385,541.9109843,685.1867736,763.2771092,688.8249165,1008.986557,11,24Step
156,State/F,430.0879407,511.9394616,654.8497475,644.2941741,410.8616273,512.3066907,671.4060007,644.6586421,903.1237441,12,24Step
157,State/F,1642.202589,1785.273043,1574.303321,1613.741155,1619.968169,1785.247257,1584.41848,1614.005082,1484.925422,13,24Step
158,State/F,555.8757331,612.835149,1402.357548,938.8391435,511.582241,612.8114371,1395.846369,937.1526234,1233.244389,14,24Step
159,State/F,792.6468259,971.3214672,1022.774622,869.8914022,815.7491073,1003.843843,1061.44151,863.4647587,1026.518635,15,24Step
160,State/F,717.5421452,913.4509181,616.3041091,807.4571921,673.4588379,880.9852412,640.8896279,813.9777228,813.3269864,16,24Step
161,State/F,539.6382033,665.3589703,547.2924777,620.8889686,495.7970389,665.3857754,525.1419532,622.6131069,754.3838139,17,24Step
162,State/F,472.531176,599.5179528,447.3332863,539.2709587,425.344263,599.5471305,446.8720475,539.9365483,587.5796872,18,24Step
163,State/F,373.4097834,438.2880524,386.3398755,522.9819875,312.1994649,438.3045948,381.2123272,522.4979907,576.5367727,19,24Step
164,State/F,320.1979078,379.4802157,411.1743256,405.8447863,283.5909507,379.4925461,390.8382283,405.6106633,355.5157126,20,24Step
165,State/F,279.9054207,333.3241095,508.1081141,471.7781101,243.368698,333.340854,500.9226899,471.8361606,525.3029738,21,24Step
166,State/F,609.3295111,777.502651,659.0789812,646.7041153,583.8877826,777.539938,657.9033568,646.2208583,895.1803819,22,24Step
167,State/F,546.3746682,734.4469181,760.4242039,690.7123456,501.604754,734.4808304,756.7562097,690.5081624,852.3135626,23,24Step
168,State/F,404.1644997,554.202666,654.3805159,645.9849008,376.9835066,554.2337586,667.4926983,646.3478014,876.3519284,24,24Step
169,State/G,277.7658426,135.2051351,345.8735607,265.7662697,274.5038538,135.2970859,341.967885,265.7976717,272.2844125,1,24Step
170,State/G,175.1600622,102.224933,728.8877063,196.949992,147.9439396,103.1432305,721.9830941,197.662868,256.3546634,2,24Step
171,State/G,401.9263139,507.2312894,441.578753,270.0111238,418.9232875,511.6843236,495.2510296,277.8582337,411.0762331,3,24Step
172,State/G,386.5645834,506.1426382,217.7945349,357.7461356,350.8910094,500.8877391,267.2973924,382.9312143,719.8928672,4,24Step
173,State/G,356.3801943,362.6207486,377.9912668,415.0088827,318.3334583,362.1736491,243.7996295,379.4855488,421.5626016,5,24Step
174,State/G,513.2838008,540.4546688,492.0786959,551.4175076,474.7645146,541.1109617,504.8249482,554.0497736,1192.163127,6,24Step
175,State/G,663.4828513,714.751307,687.7429089,788.1954669,609.7525411,715.3692367,700.6179616,787.4249289,1405.108199,7,24Step
176,State/G,691.8887306,741.2949236,846.6269414,805.4831247,654.6637871,740.6211651,842.7632288,804.7846522,855.8250669,8,24Step
177,State/G,485.4603644,530.9198796,575.1210313,519.2829347,454.9109892,529.9915707,578.9385024,518.6258722,459.1374653,9,24Step
178,State/G,434.801527,468.8562849,585.6570178,581.6488516,419.6261151,469.1697479,591.9880933,581.1915178,843.0337865,10,24Step
179,State/G,361.3449705,437.0553948,463.9050098,407.7464211,321.7834698,437.9748803,465.8281503,407.9383897,490.1765704,11,24Step
180,State/G,208.6412146,266.0321982,225.7509356,232.6822862,192.6198621,265.8697946,241.9179071,234.0226563,416.6209907,12,24Step
181,State/G,188.9489432,152.7597382,250.5633078,313.0022634,170.6390111,151.8033893,259.9641216,313.3360787,608.4583232,13,24Step
182,State/G,95.04926401,77.86323105,635.5342031,186.5541799,55.94273194,78.31627119,631.6308476,187.2213689,490.3546422,14,24Step
183,State/G,324.7538002,518.8734221,378.4387988,264.6746565,280.8279433,507.4652128,431.0047109,272.5291155,613.693592,15,24Step
184,State/G,320.1512977,520.2565476,174.8075649,351.9655217,329.2274724,532.5653049,181.2085834,343.7254588,465.69675,16,24Step
185,State/G,314.2111043,379.0374407,348.2024473,409.2672592,274.6663225,377.8606214,326.7222126,410.1185734,566.3104436,17,24Step
186,State/G,453.1872553,574.7898945,470.4772961,545.6724613,409.6759207,574.6760019,468.9579809,545.0989075,523.7540981,18,24Step
187,State/G,618.8599204,714.0849295,671.3223216,782.450721,562.6634763,715.2553273,666.4967875,781.9643742,1188.128989,19,24Step
188,State/G,655.6364638,766.9629179,833.4608314,799.7383525,619.4538423,767.3189072,814.1077895,799.0163391,881.1297299,20,24Step
189,State/G,485.984877,575.4907044,564.1058038,513.5381648,453.7768701,574.3704711,556.8590524,512.8846957,1281.288869,21,24Step
190,State/G,391.4465828,495.3311807,576.1344406,575.9040815,369.5986842,494.6913649,574.9311366,575.4479485,467.3101863,22,24Step
191,State/G,279.9873538,433.2339194,455.3938535,402.001651,240.465573,434.1938643,452.3459439,402.1950314,593.8705649,23,24Step
192,State/G,174.6708721,264.6491488,218.3509188,226.937516,152.4008669,265.4957021,231.2848434,228.2792794,501.3885057,24,24Step
193,Zone/AA,3924.07215,3914.939255,3789.645443,3758.842985,3926.126539,3915.849067,3794.336683,3761.208504,4223.603286,1,24Step
194,Zone/AA,1724.504389,1853.896571,2534.924276,2203.281873,1737.058535,1855.202873,2543.551771,2206.436767,2024.159599,2,24Step
195,Zone/AA,2184.987481,2191.436448,1799.962665,1750.329226,2160.139483,2163.607071,1746.817926,1700.827604,2449.512655,3,24Step
196,Zone/AA,2217.893319,2254.69028,1749.812737,1870.093963,2255.398764,2284.151957,1626.962638,1728.328391,2326.251952,4,24Step
197,Zone/AA,1841.621974,1925.88717,1546.270222,1628.343075,1848.169465,1925.821122,1625.592852,1732.444125,2552.110484,5,24Step
198,Zone/AA,1855.168833,1900.906383,1522.909727,1559.498258,1861.926049,1900.513176,1570.033455,1605.325062,2105.59422,6,24Step
199,Zone/AA,2238.22686,2285.902429,1855.960293,1936.217234,2235.933841,2285.255012,1884.353406,1960.045395,1873.224634,7,24Step
200,Zone/AA,1836.915816,1917.935502,1730.326495,1741.459226,1838.010875,1916.927578,1746.679588,1755.169325,1977.86231,8,24Step
201,Zone/AA,1958.500677,2026.296182,1796.061228,1781.505166,1969.201068,2025.081887,1798.084903,1784.571495,2401.969501,9,24Step
202,Zone/AA,2375.605299,2433.015314,2223.718616,2208.072415,2402.487303,2431.590566,2227.904972,2210.828725,2335.378492,10,24Step
203,Zone/AA,2027.282489,2082.860865,2053.520067,2009.653741,2027.378867,2081.233606,2056.932785,2012.009175,2481.750007,11,24Step
204,Zone/AA,2236.941608,2261.659312,2114.232281,2106.052135,2248.006626,2259.872234,2111.229531,2102.870056,2107.393803,12,24Step
205,Zone/AA,3834.276631,3856.012775,3635.032449,3632.159508,3860.437524,3854.216131,3638.115091,3632.025542,3507.91399,13,24Step
206,Zone/AA,1692.763328,1803.255103,2439.09745,2132.547466,1695.791061,1801.299084,2445.944973,2134.1883,1892.055515,14,24Step
207,Zone/AA,2080.07112,2144.556556,1740.208789,1706.191558,2191.742363,2252.021756,1685.200356,1655.813449,1928.821859,15,24Step
208,Zone/AA,2175.567416,2211.24739,1708.953285,1838.599695,2072.761944,2100.191825,1738.592707,1860.402851,2313.263762,16,24Step
209,Zone/AA,1802.752218,1885.628733,1515.074862,1602.859153,1801.308001,1883.527398,1538.196453,1621.105521,2401.826161,17,24Step
