Series,date,ForecastInterval,Actual,OLS.rec,OLS.unrec,OLS.rec.matrix,OLS.unrec.matrix,Level
State/C,13,1Step,8495.71802,9730.001999,9660.870738,9730.001997,9660.870738,level1
State/C,14,1Step,5777.16748,4355.321418,4310.245293,4355.321417,4310.245293,level1
State/C,15,1Step,5094.084892,4716.07495,4650.663854,4716.07495,4650.663854,level1
State/C,16,1Step,6210.758727,6592.370976,6508.740879,6592.370976,6508.740879,level1
State/C,17,1Step,5854.610393,5329.651443,5187.9356,5329.651444,5187.9356,level1
State/C,18,1Step,5319.143706,5580.182825,5543.971157,5580.182825,5543.971157,level1
State/C,19,1Step,7996.645051,7418.61702,7303.384048,7418.61702,7303.384048,level1
State/C,20,1Step,7536.939346,7044.209139,6914.438131,7044.209138,6914.438131,level1
State/C,21,1Step,7123.112802,7089.083291,7093.7252,7089.083291,7093.7252,level1
State/C,22,1Step,8759.191781,7493.560826,7460.083317,7493.560827,7460.083317,level1
State/C,23,1Step,6804.359328,5837.396712,5666.768322,5837.396712,5666.768322,level1
State/C,24,1Step,6049.188583,5682.719823,5546.233248,5682.719823,5546.233248,level1
State/D,1,1Step,3705.183969,3247.731151,3127.012302,3247.731152,3127.012302,level1
State/D,2,1Step,1234.62537,1320.847872,1310.212717,1320.847871,1310.212717,level1
State/D,3,1Step,1873.29288,1504.798038,1434.908353,1504.798038,1434.908353,level1
State/D,4,1Step,1688.699857,2055.871372,2023.462463,2055.871373,2023.462463,level1
State/D,5,1Step,1503.773352,1505.131304,1437.062086,1505.131304,1437.062086,level1
State/D,6,1Step,1172.252119,1382.079312,1312.798715,1382.079311,1312.798715,level1
State/D,7,1Step,1248.339624,1746.012305,1580.64141,1746.012305,1580.64141,level1
State/D,8,1Step,1299.440434,1381.265704,1310.431797,1381.265705,1310.431797,level1
State/D,9,1Step,1278.933403,1326.456614,1327.514803,1326.456615,1327.514803,level1
State/D,10,1Step,2130.846154,1878.897333,1778.880032,1878.897333,1778.880032,level1
State/D,11,1Step,1513.434502,1504.327309,1411.700364,1504.327309,1411.700364,level1
State/D,12,1Step,1871.762793,1654.150711,1467.741421,1654.150711,1467.741421,level1
State/D,13,1Step,3050.230028,3125.494166,3049.234709,3125.494165,3049.234709,level1
State/D,14,1Step,1800.689885,1310.192468,1249.089605,1310.192467,1249.089605,level1
State/D,15,1Step,1943.733195,1568.8832,1510.874883,1568.883201,1510.874883,level1
State/D,16,1Step,1901.670489,2029.319211,1907.011989,2029.319212,1907.011989,level1
State/D,17,1Step,1881.462572,1712.087695,1581.04917,1712.087695,1581.04917,level1
State/D,18,1Step,1314.592869,1338.353332,1313.86695,1338.353332,1313.86695,level1
State/D,19,1Step,2034.755553,1822.561388,1692.185002,1822.561387,1692.185002,level1
State/D,20,1Step,1230.3217,1470.099343,1368.955661,1470.099342,1368.955661,level1
State/D,21,1Step,1632.732153,1549.445284,1572.786883,1549.445283,1572.786883,level1
State/D,22,1Step,1900.476487,2002.277083,1978.654655,2002.277083,1978.654655,level1
State/D,23,1Step,1543.299435,1740.401574,1581.258936,1740.401574,1581.258936,level1
State/D,24,1Step,1378.418048,1804.130942,1695.804987,1804.130941,1695.804987,level1
State/E,1,1Step,4366.029767,4298.50584,4197.905762,4298.505841,4197.905762,level1
State/E,2,1Step,2734.31321,2458.293271,2448.598068,2458.293271,2448.598068,level1
State/E,3,1Step,3177.865032,3053.020052,3011.486759,3053.020052,3011.486759,level1
State/E,4,1Step,3902.637363,3444.53702,3417.239351,3444.53702,3417.239351,level1
State/E,5,1Step,2692.658805,2762.401529,2710.45452,2762.40153,2710.45452,level1
State/E,6,1Step,2669.549091,3091.280999,3040.357194,3091.280999,3040.357194,level1
State/E,7,1Step,3098.333171,3470.094424,3314.822241,3470.094424,3314.822241,level1
State/E,8,1Step,3471.119861,3162.623824,3082.043578,3162.623824,3082.043578,level1
State/E,9,1Step,3536.384785,3320.902823,3285.277291,3320.902823,3285.277291,level1
State/E,10,1Step,3495.863847,3704.718297,3638.798012,3704.718297,3638.798012,level1
State/E,11,1Step,3702.734933,2908.854277,2852.227543,2908.854277,2852.227543,level1
State/E,12,1Step,3662.918391,3368.90489,3224.529648,3368.90489,3224.529648,level1
State/E,13,1Step,6153.800933,5142.483597,5104.440821,5142.483596,5104.440821,level1
State/E,14,1Step,2634.39177,3335.317453,3313.947808,3335.317452,3313.947808,level1
State/E,15,1Step,3111.716156,3674.075703,3663.96933,3674.075703,3663.96933,level1
State/E,16,1Step,4025.360628,4016.863711,3931.058675,4016.863711,3931.058675,level1
State/E,17,1Step,3210.782734,3535.382189,3392.920996,3535.382189,3392.920996,level1
State/E,18,1Step,3178.263815,3558.229059,3517.032609,3558.229059,3517.032609,level1
State/E,19,1Step,3709.60489,3765.617222,3627.560914,3765.617221,3627.560914,level1
State/E,20,1Step,2868.505157,3726.81674,3652.2897,3726.81674,3652.2897,level1
State/E,21,1Step,3327.06477,3905.73728,3971.150048,3905.73728,3971.150048,level1
State/E,22,1Step,3704.651986,4146.83503,4181.570317,4146.83503,4181.570317,level1
State/E,23,1Step,3698.431886,3244.762192,3115.525719,3244.762191,3115.525719,level1
State/E,24,1Step,2844.820274,3490.234806,3373.427294,3490.234806,3373.427294,level1
State/F,1,1Step,2343.664385,1736.183536,1604.63422,1736.183538,1604.63422,level1
State/F,2,1Step,924.0577022,1022.124809,1018.011677,1022.12481,1018.011677,level1
State/F,3,1Step,926.554341,1156.442796,1105.61649,1156.442796,1105.61649,level1
State/F,4,1Step,771.3497865,940.3221097,904.5486011,940.32211,904.5486011,level1
State/F,5,1Step,723.2742701,578.5385458,501.4246279,578.5385459,501.4246279,level1
State/F,6,1Step,599.3017198,660.6759786,580.9831826,660.6759782,580.9831826,level1
State/F,7,1Step,615.5409472,667.6539879,485.2252673,667.6539881,485.2252673,level1
State/F,8,1Step,433.9255811,481.6600964,390.2426057,481.6600963,390.2426057,level1
State/F,9,1Step,496.3697982,570.2697871,558.6388443,570.2697876,558.6388443,level1
State/F,10,1Step,846.9560533,875.8323783,790.7252384,875.8323779,790.7252384,level1
State/F,11,1Step,1008.986557,780.8912403,692.7035421,780.8912403,692.7035421,level1
State/F,12,1Step,903.1237441,935.3890258,763.6862099,935.3890258,763.6862099,level1
State/F,13,1Step,1484.925422,1799.111434,1724.634121,1799.111433,1724.634121,level1
State/F,14,1Step,1233.244389,950.3494481,899.0855097,950.3494476,899.0855097,level1
State/F,15,1Step,1026.518635,1074.530575,1023.239456,1074.530575,1023.239456,level1
State/F,16,1Step,813.3269864,1026.317654,922.9593503,1026.317655,922.9593503,level1
State/F,17,1Step,754.3838139,777.4762297,629.562889,777.4762301,629.562889,level1
State/F,18,1Step,587.5796872,571.3709119,544.4853557,571.3709119,544.4853557,level1
State/F,19,1Step,576.5367727,770.1796666,636.6199068,770.1796661,636.6199068,level1
State/F,20,1Step,355.5157126,592.6829429,484.6781272,592.6829425,484.6781272,level1
State/F,21,1Step,525.3029738,530.0542013,543.5133398,530.054201,543.5133398,level1
State/F,22,1Step,895.1803819,714.2038662,674.224171,714.203866,674.224171,level1
State/F,23,1Step,852.3135626,933.3633787,774.507518,933.3633785,774.507518,level1
State/F,24,1Step,876.3519284,835.7263719,711.9707213,835.7263712,711.9707213,level1
State/G,1,1Step,272.2844125,396.0221177,273.2800071,396.022119,273.2800071,level1
State/G,2,1Step,256.3546634,175.3837799,150.942142,175.38378,150.942142,level1
State/G,3,1Step,411.0762331,330.3072472,270.5460915,330.3072476,270.5460915,level1
State/G,4,1Step,719.8928672,455.1835005,427.1271429,455.1835008,427.1271429,level1
State/G,5,1Step,421.5626016,587.6826217,525.6473248,587.6826218,525.6473248,level1
State/G,6,1Step,1192.163127,611.7545681,530.4360633,611.7545678,530.4360633,level1
State/G,7,1Step,1405.108199,1113.662888,962.6906575,1113.662889,962.6906575,level1
State/G,8,1Step,855.8250669,1033.730145,958.8835909,1033.730145,958.8835909,level1
State/G,9,1Step,459.1374653,555.664794,537.4321824,555.6647945,537.4321824,level1
State/G,10,1Step,843.0337865,605.994182,503.6796715,605.9941817,503.6796715,level1
State/G,11,1Step,490.1765704,753.6889148,690.3464863,753.6889148,690.3464863,level1
State/G,12,1Step,416.6209907,390.7589844,215.0032158,390.7589844,215.0032158,level1
State/G,13,1Step,608.4583232,388.2653497,324.2707679,388.265349,324.2707679,level1
State/G,14,1Step,490.3546422,354.6360119,311.3617507,354.6360114,311.3617507,level1
State/G,15,1Step,613.693592,372.0236589,305.7182078,372.0236592,305.7182078,level1
State/G,16,1Step,465.69675,579.9279189,482.565519,579.9279194,482.565519,level1
State/G,17,1Step,566.3104436,701.0147033,556.3719999,701.0147037,556.3719999,level1
State/G,18,1Step,523.7540981,744.5783368,719.640836,744.5783367,719.640836,level1
State/G,19,1Step,1188.128989,1085.647481,952.2349657,1085.64748,952.2349657,level1
State/G,20,1Step,881.1297299,1102.967839,1013.293974,1102.967839,1013.293974,level1
State/G,21,1Step,1281.288869,599.4429857,601.0516581,599.4429854,601.0516581,level1
State/G,22,1Step,467.3101863,790.2877338,767.6422864,790.2877336,767.6422864,level1
State/G,23,1Step,593.8705649,551.7599364,392.4537138,551.7599363,392.4537138,level1
State/G,24,1Step,501.3885057,429.3530518,301.7331688,429.3530512,301.7331688,level1
Zone/AA,1,1Step,4223.603286,3898.12266,3882.057486,3898.122659,3882.057486,level2
Zone/AA,2,1Step,2024.159599,1840.752892,1851.108377,1840.752891,1851.108377,level2
Zone/AA,3,1Step,2449.512655,2127.69393,2132.874165,2127.69393,2132.874165,level2
Zone/AA,4,1Step,2326.251952,2465.004025,2434.44066,2465.004025,2434.44066,level2
Zone/AA,5,1Step,2552.110484,1953.797553,1903.916383,1953.797553,1903.916383,level2
Zone/AA,6,1Step,2105.59422,2126.480061,2085.163277,2126.480061,2085.163277,level2
Zone/AA,7,1Step,1873.224634,2448.904842,2367.231141,2448.904842,2367.231141,level2
Zone/AA,8,1Step,1977.86231,2041.285018,1880.844035,2041.285018,1880.844035,level2
Zone/AA,9,1Step,2401.969501,2076.695179,2008.252265,2076.695179,2008.252265,level2
Zone/AA,10,1Step,2335.378492,2639.03134,2604.342221,2639.03134,2604.342221,level2
Zone/AA,11,1Step,2481.750007,2159.902251,2090.545742,2159.902251,2090.545742,level2
Zone/AA,12,1Step,2107.393803,2365.959114,2340.002169,2365.959114,2340.002169,level2
Zone/AA,13,1Step,3507.91399,3987.186753,3894.726549,3987.186753,3894.726549,level2
Zone/AA,14,1Step,1892.055515,1932.346838,1803.142972,1932.346838,1803.142972,level2
Zone/AA,15,1Step,1928.821859,2122.918365,2052.70922,2122.918365,2052.70922,level2
Zone/AA,16,1Step,2313.263762,2262.216723,2149.047221,2262.216724,2149.047221,level2
Zone/AA,17,1Step,2401.826161,1921.386641,1798.429437,1921.386641,1798.429437,level2
Zone/AA,18,1Step,2060.940754,1975.446534,1987.470543,1975.446533,1987.470543,level2
Zone/AA,19,1Step,2150.640692,2400.953961,2309.771138,2400.953961,2309.771138,level2
Zone/AA,20,1Step,2305.649511,2019.101224,1882.261854,2019.101224,1882.261854,level2
Zone/AA,21,1Step,2061.246613,2242.695407,2179.221613,2242.695407,2179.221613,level2
Zone/AA,22,1Step,2267.174784,2482.945584,2423.798409,2482.945584,2423.798409,level2
Zone/AA,23,1Step,2786.280116,2218.887088,2135.613975,2218.887088,2135.613975,level2
Zone/AA,24,1Step,2676.459548,2356.371975,2347.839407,2356.371974,2347.839407,level2
Zone/AB,1,1Step,4030.390183,4961.131333,4949.270533,4961.131332,4949.270533,level2
Zone/AB,2,1Step,1681.874987,1673.665511,1699.75383,1673.66551,1699.75383,level2
Zone/AB,3,1Step,2124.505063,1876.563169,1857.324775,1876.563169,1857.324775,level2
Zone/AB,4,1Step,2620.402462,2392.099691,2378.065067,2392.099691,2378.065067,level2
Zone/AB,5,1Step,2026.664041,1699.908004,1649.476898,1699.908004,1649.476898,level2
Zone/AB,6,1Step,1300.5249,1447.875847,1395.548146,1447.875847,1395.548146,level2
Zone/AB,7,1Step,1731.584468,1906.221563,1820.182908,1906.221563,1820.182908,level2
Zone/AB,8,1Step,1841.123842,1636.903331,1462.988755,1636.903331,1462.988755,level2
Zone/AB,9,1Step,1839.418888,1682.8366,1600.600438,1682.8366,1600.600438,level2
Zone/AB,10,1Step,2058.114076,2165.504068,2095.271911,2165.504068,2095.271911,level2
Zone/AB,11,1Step,2614.287386,1867.38899,1792.864385,1867.38899,1792.864385,level2
Zone/AB,12,1Step,2084.694399,2106.916379,2060.125366,2106.916379,2060.125366,level2
Zone/AB,13,1Step,5358.049207,5092.897252,5039.751193,5092.897253,5039.751193,level2
Zone/AB,14,1Step,1989.568099,1912.444986,1779.930169,1912.444986,1779.930169,level2
Zone/AB,15,1Step,2519.785492,1841.372807,1772.49191,1841.372807,1772.49191,level2
Zone/AB,16,1Step,2776.414244,2592.138819,2471.983047,2592.13882,2471.983047,level2
Zone/AB,17,1Step,2087.62966,1716.411875,1601.625931,1716.411875,1601.625931,level2
Zone/AB,18,1Step,1750.754521,1659.088145,1655.017471,1659.088145,1655.017471,level2
Zone/AB,19,1Step,2172.872049,2077.195812,2022.744792,2077.195813,2022.744792,level2
Zone/AB,20,1Step,1872.23814,2035.057655,1909.121489,2035.057655,1909.121489,level2
Zone/AB,21,1Step,1834.68201,2054.216277,2015.739525,2054.216277,2015.739525,level2
Zone/AB,22,1Step,2654.233485,2483.609156,2457.594046,2483.609156,2457.594046,level2
Zone/AB,23,1Step,2537.103416,2122.870304,2041.557816,2122.870304,2041.557816,level2
Zone/AB,24,1Step,2079.657819,2336.880329,2330.372279,2336.880329,2330.372279,level2
Zone/AC,1,1Step,2765.882905,3059.825309,3024.79307,3059.825308,3024.79307,level2
Zone/AC,2,1Step,800.6792133,668.7859266,663.3986228,668.7859267,663.3986228,level2
Zone/AC,3,1Step,1235.941227,786.946452,762.5054739,786.946452,762.5054739,level2
Zone/AC,4,1Step,1116.071657,1220.182184,1193.177496,1220.182184,1193.177496,level2
Zone/AC,5,1Step,869.0912121,644.0478827,604.7390147,644.0478827,604.7390147,level2
Zone/AC,6,1Step,769.6708957,483.1059415,436.6053261,483.1059414,436.6053261,level2
Zone/AC,7,1Step,529.5716597,689.6981234,618.2643051,689.6981236,618.2643051,level2
Zone/AC,8,1Step,840.7129406,607.2411104,475.0130152,607.2411104,475.0130152,level2
Zone/AC,9,1Step,713.7146559,635.4843856,593.0148552,635.4843857,593.0148552,level2
Zone/AC,10,1Step,722.4996773,957.2829001,908.8490783,957.2829,908.8490783,level2
Zone/AC,11,1Step,1004.367085,619.9206259,558.2085401,619.9206259,558.2085401,level2
Zone/AC,12,1Step,829.2701471,893.6333436,856.3629298,893.6333436,856.3629298,level2
Zone/AC,13,1Step,2816.007538,3168.566207,3092.771844,3168.566207,3092.771844,level2
Zone/AC,14,1Step,901.0228138,912.9740587,813.0821961,912.9740587,813.0821961,level2
Zone/AC,15,1Step,1059.340016,911.6153637,853.7698731,911.6153637,853.7698731,level2
Zone/AC,16,1Step,931.5082899,1238.26259,1151.599989,1238.26259,1151.599989,level2
Zone/AC,17,1Step,616.5197945,769.0749066,666.5774441,769.0749066,666.5774441,level2
Zone/AC,18,1Step,768.4385378,554.9578756,548.63881,554.9578757,548.63881,level2
Zone/AC,19,1Step,714.6411507,651.1484642,575.56686,651.1484641,575.56686,level2
Zone/AC,20,1Step,462.3843129,678.6668309,567.5374631,678.6668309,567.5374631,level2
Zone/AC,21,1Step,463.145443,657.049823,596.345584,657.0498229,596.345584,level2
Zone/AC,22,1Step,907.2884911,857.8563774,809.7103336,857.8563776,809.7103336,level2
Zone/AC,23,1Step,986.2338766,697.29108,601.0278581,697.29108,601.0278581,level2
Zone/AC,24,1Step,759.9514254,922.0946967,910.2081359,922.0946967,910.2081359,level2
Zone/AD,1,1Step,1258.651811,1268.131351,1230.837268,1268.131351,1230.837268,level2
Zone/AD,2,1Step,510.39577,518.8383893,519.7498765,518.8383894,519.7498765,level2
Zone/AD,3,1Step,639.3977855,705.493131,680.4347203,705.4931311,680.4347203,level2
Zone/AD,4,1Step,785.4752687,985.4191109,945.0757213,985.4191109,945.0757213,level2
Zone/AD,5,1Step,610.1656893,604.7952875,549.809158,604.7952874,549.809158,level2
Zone/AD,6,1Step,760.2816743,714.1126083,656.7699032,714.1126081,656.7699032,level2
Zone/AD,7,1Step,1117.961964,1071.703617,986.830835,1071.703617,986.830835,level2
Zone/AD,8,1Step,1044.416547,1024.47833,854.3957609,1024.478329,854.3957609,level2
Zone/AD,9,1Step,873.5416627,963.3587907,899.3782817,963.3587908,899.3782817,level2
Zone/AD,10,1Step,878.6531344,878.9081901,818.9959723,878.90819,818.9959723,level2
Zone/AD,11,1Step,862.0478719,755.1674533,682.133418,755.1674534,682.133418,level2
Zone/AD,12,1Step,838.6748598,802.7331522,752.3563138,802.7331523,752.3563138,level2
Zone/AD,13,1Step,1210.494965,1340.185278,1248.942408,1340.185278,1248.942408,level2
Zone/AD,14,1Step,631.9088817,628.6162474,490.8356319,628.6162472,490.8356319,level2
Zone/AD,15,1Step,873.3337247,747.2538837,676.1102856,747.2538838,676.1102856,level2
Zone/AD,16,1Step,932.4553293,1143.003423,1038.65564,1143.003423,1038.65564,level2
Zone/AD,17,1Step,1011.508845,733.1929005,598.4549081,733.1929006,598.4549081,level2
Zone/AD,18,1Step,696.4168107,690.8953806,684.7794359,690.8953806,684.7794359,level2
Zone/AD,19,1Step,1066.500458,1168.206089,1074.034431,1168.206089,1074.034431,level2
Zone/AD,20,1Step,1031.338536,1049.809725,898.9828939,1049.809725,898.9828939,level2
Zone/AD,21,1Step,1102.933834,969.473725,892.9867123,969.4737249,892.9867123,level2
Zone/AD,22,1Step,914.8604554,953.6739652,909.4513125,953.6739653,909.4513125,level2
Zone/AD,23,1Step,954.5932993,811.9018304,679.1302288,811.9018304,679.1302288,level2
Zone/AD,24,1Step,720.4401444,858.2449882,844.1533158,858.2449882,844.1533158,level2
Zone/AE,1,1Step,1292.794747,1600.362638,1571.888978,1600.362638,1571.888978,level2
Zone/AE,2,1Step,556.2442231,848.7730385,870.9009879,848.7730386,870.9009879,level2
Zone/AE,3,1Step,837.7967223,778.6181056,746.9295012,778.6181056,746.9295012,level2
Zone/AE,4,1Step,1433.076685,1146.878428,1107.037559,1146.878428,1107.037559,level2
Zone/AE,5,1Step,980.8475592,761.264638,693.2058526,761.264638,693.2058526,level2
Zone/AE,6,1Step,958.2917263,867.5563847,810.6401454,867.5563845,810.6401454,level2
Zone/AE,7,1Step,1015.110649,1214.901053,1139.779513,1214.901053,1139.779513,level2
Zone/AE,8,1Step,976.8880911,991.837553,821.0372667,991.837553,821.0372667,level2
Zone/AE,9,1Step,755.1494287,966.9571911,904.400652,966.9571912,904.400652,level2
Zone/AE,10,1Step,1518.397811,1295.966221,1233.815565,1295.966222,1233.815565,level2
Zone/AE,11,1Step,1433.437665,836.0894779,769.3755245,836.089478,769.3755245,level2
Zone/AE,12,1Step,760.0565663,792.6322835,732.0805389,792.6322835,732.0805389,level2
Zone/AE,13,1Step,1100.664325,1597.344114,1513.222686,1597.344114,1513.222686,level2
Zone/AE,14,1Step,647.1998036,870.4877512,751.9147186,870.4877511,751.9147186,level2
Zone/AE,15,1Step,1064.569308,853.4840594,780.820189,853.4840594,780.820189,level2
Zone/AE,16,1Step,1387.41838,1268.51497,1157.24755,1268.51497,1157.24755,level2
Zone/AE,17,1Step,1305.90313,961.3223439,822.0681082,961.322344,822.0681082,level2
Zone/AE,18,1Step,1140.548162,892.784261,885.1865838,892.784261,885.1865838,level2
Zone/AE,19,1Step,1393.441776,1182.099719,1099.634256,1182.099719,1099.634256,level2
Zone/AE,20,1Step,1101.272978,1053.563266,914.3165884,1053.563265,914.3165884,level2
Zone/AE,21,1Step,879.0715996,1053.494071,978.2849815,1053.494071,978.2849815,level2
Zone/AE,22,1Step,1202.347197,1507.598711,1473.626381,1507.598711,1473.626381,level2
Zone/AE,23,1Step,814.9252264,1127.182066,1023.414379,1127.182066,1023.414379,level2
Zone/AE,24,1Step,1188.138496,836.6788091,820.8868513,836.6788091,820.8868513,level2
Zone/AF,1,1Step,896.5761076,605.1858868,568.7390252,605.1858863,568.7390252,level2
Zone/AF,2,1Step,334.3218378,472.0072248,476.0977528,472.0072248,476.0977528,level2
Zone/AF,3,1Step,465.1734215,420.1301302,394.6297746,420.1301302,394.6297746,level2
Zone/AF,4,1Step,390.9631736,497.1019991,461.5545084,497.1019991,461.5545084,level2
