,Series,ETS.rec,ETS.unrec,ARIMA.rec,ARIMA.unrec,OLS.rec,OLS.unrec,Actual,date,ForecastInterval,OLS.var.rec,OLS.var.unrec
75,State/C,4620.763687,4532.370241,4471.842237,4564.230463,4418.90098543875,4369.28237346998,5186.080217,3,24Step,158.024499854069,210.597019747578
76,State/C,6002.920049,5900.679396,5945.088033,6108.293046,5890.83613511285,5852.20254111822,6353.890768,4,24Step,154.902832215334,211.338128126556
77,State/C,5035.629205,4926.253091,4997.941272,5035.863199,4923.07054702693,4896.34249503983,6314.344368,5,24Step,150.860791996519,208.853695993902
78,State/C,5349.152258,5207.360192,5259.658072,5322.035626,5265.39745936547,5215.20203978369,5692.234414,6,24Step,156.360630765806,214.817746867027
79,State/C,6954.754625,6851.176546,7027.003024,7110.111881,6872.49038084321,6842.94267682809,8196.378481,7,24Step,149.62655657835,206.925700851422
80,State/C,6912.942687,6801.279318,6764.252955,6794.640163,6794.13349324955,6763.49596533706,6666.976942,8,24Step,149.971927562717,207.26582347348
81,State/C,7440.736176,7343.443779,6676.871663,6759.769309,7181.0321354227,7186.33372712053,7646.475258,9,24Step,147.217438003155,204.902270321522
82,State/C,7205.418889,7101.465878,7081.162497,7205.679147,7138.67583953173,7110.70947513393,6636.808118,10,24Step,151.718257865978,204.238256579222
83,State/C,5561.455672,5475.401129,5429.249833,5530.169995,5507.13421103615,5459.10863858703,5937.752456,11,24Step,151.663896058762,204.323053277487
84,State/C,5354.989493,5247.698128,5235.766843,5320.148298,5281.13983671695,5250.3094294523,5621.323498,12,24Step,227.0271081827,211.509807138493
85,State/C,9687.179785,9603.229138,9194.039666,9329.946687,9533.73682599631,9513.63474977749,8495.71802,13,24Step,174.625946850112,206.761716607989
86,State/C,4372.658015,4258.422243,4135.080691,4244.660081,4212.69790981733,4205.88602401103,5777.16748,14,24Step,165.365091769447,206.533891424287
87,State/C,4619.535412,4532.370241,4363.653329,4580.331159,4378.78895666741,4366.83847915708,5094.084892,15,24Step,147.326859474098,206.52147355949
88,State/C,6001.576377,5900.679396,5827.636246,6120.93781,5863.42652861038,5849.70616336385,6210.758727,16,24Step,148.595072453688,206.656227354101
89,State/C,5034.200474,4926.253091,4924.281711,5048.101253,4904.72489782494,4893.06013502689,5854.610393,17,24Step,147.877657457129,206.604375964262
90,State/C,5347.4947,5207.360192,5224.861725,5403.321515,5230.1065723716,5214.0757045727,5319.143706,18,24Step,149.179722089047,206.589902874216
91,State/C,6951.911412,6851.176546,6975.356364,7127.945526,6852.07345381273,6838.9104996695,7996.645051,19,24Step,149.091239525198,206.592451570813
92,State/C,6910.454694,6801.279318,6741.834516,6856.109451,6771.06366272731,6759.94019286994,7536.939346,20,24Step,147.330385015302,206.521175599228
93,State/C,7439.032894,7343.443779,6658.440041,6780.449777,7178.36395288465,7173.57803801663,7123.112802,21,24Step,150.196294482462,206.576399505101
94,State/C,7204.132608,7101.465878,6999.781651,7218.776131,7115.3979445717,7104.70025292972,8759.191781,22,24Step,149.47960537759,206.618326139275
95,State/C,5560.853924,5475.401129,5353.826932,5563.079496,5468.26512328797,5453.67252191161,6804.359328,23,24Step,168.391683304032,206.554833636502
96,State/C,5354.565561,5247.698128,5215.149709,5389.064874,5262.25511551262,5247.91844693253,6049.188583,24,24Step,153.508395392389,206.609111086989
97,State/D,3161.413921,3073.219585,3008.94702,3014.102868,3062.28983950889,3022.29376322394,3705.183969,1,24Step,108.808768097559,62.6659461813053
98,State/D,1383.086538,1297.576896,1157.709827,1182.865797,1222.97550757923,1228.02993891147,1234.62537,2,24Step,81.8360989862888,65.2106758065797
99,State/D,1580.963367,1519.934528,1401.482482,1531.908609,1452.86218294152,1402.55481518789,1873.29288,3,24Step,72.7071046633181,74.48663135557
100,State/D,1970.716557,1908.158235,1686.275993,1870.449532,1870.1493513095,1829.62609970416,1688.699857,4,24Step,64.2947664709619,62.0301259924707
101,State/D,1489.284769,1411.867888,1278.846813,1346.748464,1365.91443806668,1327.50441262343,1503.773352,5,24Step,61.843799933234,62.3874061024232
102,State/D,1342.297363,1247.77599,1148.751545,1220.546817,1208.83339034444,1156.22739379191,1172.252119,6,24Step,65.3552524073504,64.7883195711931
103,State/D,1624.098417,1551.758289,1357.015385,1443.419137,1501.6982436432,1469.69965515317,1248.339624,7,24Step,60.8815809188689,61.9891992773931
104,State/D,1286.674821,1210.889399,1163.070166,1189.752436,1147.24615153188,1110.96517587083,1299.440434,8,24Step,64.8564969239275,66.5702914693443
105,State/D,1426.177865,1352.519751,1169.34246,1261.451203,1266.74980677764,1269.68475927689,1278.933403,9,24Step,61.7692520718532,62.1304625292142
106,State/D,1866.784681,1795.178986,1677.657486,1819.908254,1746.26817527406,1711.82233413276,2130.846154,10,24Step,65.4391837979524,67.322827630173
107,State/D,1494.277955,1441.693077,1333.850713,1468.922274,1396.15967373444,1342.25210707896,1513.434502,11,24Step,70.4841863559273,68.6630267756285
108,State/D,1566.506576,1492.339834,1369.021807,1490.173351,1444.79459728029,1405.34277709403,1871.762793,12,24Step,120.688770238329,61.9725886645056
109,State/D,3158.698074,3073.219585,2828.285055,3014.102868,3031.34908217492,3008.58611462509,3050.230028,13,24Step,81.8448312871728,63.5999306543361
110,State/D,1380.604007,1297.576896,1033.468765,1182.865797,1211.25573557392,1203.19623292035,1800.689885,14,24Step,69.2062222198026,63.6101871881558
111,State/D,1578.333056,1519.934528,1277.154494,1531.908609,1445.30500321234,1431.71994440096,1943.733195,15,24Step,61.8951684334172,63.604123058368
112,State/D,1968.326872,1908.158235,1548.81286,1870.449532,1833.55996240282,1820.06253425761,1901.670489,16,24Step,62.731624828978,63.621280324294
113,State/D,1486.587938,1411.867888,1192.392754,1346.748464,1338.93448541274,1326.96081745518,1881.462572,17,24Step,61.7726663865801,63.613179561785
114,State/D,1339.33956,1247.77599,1043.63558,1220.546817,1181.51280540012,1165.57823397212,1314.592869,18,24Step,61.3008959737858,63.611993123679
115,State/D,1620.242398,1551.758289,1291.6289,1443.419137,1474.52306490498,1460.47881514585,2034.755553,19,24Step,61.1467010150018,63.6066687530472
116,State/D,1282.935131,1210.889399,1092.018484,1189.752436,1136.26434117738,1125.09441691839,1230.3217,20,24Step,62.0562209952529,63.6100807087284
117,State/D,1423.393485,1352.519751,1131.781856,1261.451203,1263.55268610045,1257.95168942582,1632.732153,21,24Step,61.6632816542494,63.6220073671001
118,State/D,1864.730342,1795.178986,1596.435146,1819.908254,1738.69176038171,1727.22904774843,1900.476487,22,24Step,62.2333535312858,63.6231064846762
119,State/D,1492.531617,1441.693077,1232.123097,1468.922274,1376.99523647058,1361.47301752127,1543.299435,23,24Step,68.881035398888,63.5989369164228
120,State/D,1564.635189,1492.339834,1271.121224,1490.173351,1410.35272083704,1396.048077018,1378.418048,24,24Step,66.0632209484561,63.6389367046474
121,State/E,4168.239484,4121.285296,4717.678539,4715.108346,3987.5620803156,3962.02086746714,4366.029767,1,24Step,143.687971069216,145.277184523045
122,State/E,2384.399824,2316.406172,2511.168722,2517.719077,1938.86852365561,1953.69314664535,2734.31321,2,24Step,108.847842008342,125.293858470211
123,State/E,2767.572578,2712.495866,3059.348097,3209.450428,2350.00261993588,2312.93604725666,3177.865032,3,24Step,97.150404148485,124.70304624643
124,State/E,3223.896962,3177.771117,3381.49993,3585.940256,2795.8603676177,2766.2111063236,3902.637363,4,24Step,100.347713401807,125.916823629561
125,State/E,2577.198619,2490.079299,2707.711832,2763.86659,2041.33522915185,2015.59300336749,2692.658805,5,24Step,92.7676826142531,116.020468148506
126,State/E,2833.134471,2722.234438,3037.276491,3124.773231,2367.5301843045,2324.39802703627,2669.549091,6,24Step,102.220227958352,136.071537819943
127,State/E,3220.093849,3095.000637,3295.861775,3376.900732,2696.64421627893,2669.77187007819,3098.333171,7,24Step,92.122372801188,120.978502262247
128,State/E,2947.287132,2819.648735,2644.694939,2643.711983,2338.9598725924,2304.69091375038,3471.119861,8,24Step,85.6419313020531,108.633644935112
129,State/E,3065.18877,2965.603293,3050.380144,3138.625608,2532.59043322475,2537.72711885275,3536.384785,9,24Step,93.1402517026878,121.141052082902
130,State/E,3350.764491,3258.540706,3316.422443,3499.845288,2870.36643444301,2844.34887560004,3495.863847,10,24Step,94.2563789979058,118.610319276143
131,State/E,2600.626254,2545.537677,2558.275192,2681.029665,2180.31294194439,2137.39331003602,3702.734933,11,24Step,105.456585730107,136.064985972125
132,State/E,2694.137879,2611.421423,2608.754741,2709.227726,2251.55309842275,2225.99196766155,3662.918391,12,24Step,141.108922093414,127.461910184954
133,State/E,4177.022535,4121.285296,4794.601443,4972.524619,3756.26827161391,3741.97012715862,6153.800933,13,24Step,105.654416450816,119.32444658473
134,State/E,2394.8172,2316.406172,2632.275343,2774.865137,1855.10371976154,1852.08383959435,2634.39177,14,24Step,110.057508990443,114.438370887331
135,State/E,2778.591656,2712.495866,3038.116307,3325.6161,2252.09277818742,2243.92284481821,3111.716156,15,24Step,89.4480905247953,113.983306718949
136,State/E,3234.534014,3177.771117,3383.024448,3729.959882,2714.62825915161,2705.23450183851,4025.360628,16,24Step,91.3646042350129,114.227567260097
137,State/E,2590.185355,2490.079299,2708.89126,2861.563901,1980.67141485025,1972.20696863498,3210.782734,17,24Step,88.0706966801366,112.332869113845
138,State/E,2847.513606,2722.234438,3108.44327,3340.126316,2263.18498045913,2251.8826013653,3178.263815,18,24Step,87.1980752872565,114.73952308397
139,State/E,3240.984719,3095.000637,3337.015033,3511.657099,2624.55045215566,2614.24126497828,3709.60489,19,24Step,86.6099472618545,113.182241159115
140,State/E,2966.637578,2819.648735,2627.685637,2706.771395,2311.94485007291,2303.99190545049,2868.505157,20,24Step,86.3087017566993,112.004467114935
141,State/E,3079.382877,2965.603293,3163.217013,3303.617444,2505.14586439244,2502.60232541117,3327.06477,21,24Step,89.1409479783045,113.053940798352
142,State/E,3361.57235,3258.540706,3324.200578,3606.964394,2813.02689218424,2805.57228143188,3704.651986,22,24Step,88.2743529725951,113.009106411927
143,State/E,2607.421556,2545.537677,2722.586601,2992.590658,2070.99701385645,2059.5381416064,3698.431886,23,24Step,90.8167659447863,113.483767865507
144,State/E,2700.790768,2611.421423,2761.639784,2960.255497,2165.41242840427,2154.94656184234,2844.820274,24,24Step,91.7060284530204,113.538931909268
145,State/F,1650.051593,1561.680773,1808.642137,1816.989347,1656.7788132216,1610.02865568992,2343.664385,1,24Step,80.1221075624235,45.9208972409856
146,State/F,921.4273883,836.4337553,676.4866392,676.6717711,861.295381728556,866.883438516715,924.0577022,2,24Step,64.8139318097328,50.8811541126815
147,State/F,989.6744769,928.0752802,786.5149275,913.1297078,993.348194583377,943.718446509118,926.554341,3,24Step,51.2485582970211,45.2926776731734
148,State/F,900.1267237,835.5324406,711.7984917,891.0233151,883.526242014659,845.251607827121,771.3497865,4,24Step,51.0354272696565,45.306792248094
149,State/F,660.8369103,586.7109579,568.0026316,634.0993214,628.317513822877,593.423718194414,723.2742701,5,24Step,48.696251246641,45.4950358048914
150,State/F,633.7881556,540.3738894,487.6349482,562.2513653,601.447924989262,548.022739172063,599.3017198,6,24Step,50.4005903065534,45.2241222808142
151,State/F,596.0770535,513.5373162,365.544343,434.3480083,559.301140707521,523.421471995144,615.5409472,7,24Step,48.1006551938612,44.9786056016454
152,State/F,452.5639684,376.1152949,362.0714845,386.642363,435.249988289736,396.102686413024,433.9255811,8,24Step,48.7328558530159,44.6551336071036
153,State/F,538.4916373,465.5656101,253.4821992,328.8588465,486.474359822091,485.880477155921,496.3697982,9,24Step,48.5045703119269,45.8902103043132
154,State/F,700.9668001,623.8979014,577.3662818,718.9208814,659.733106749382,624.381513451305,846.9560533,10,24Step,51.0110470479697,47.8430619182434
155,State/F,703.4893703,646.5037949,545.0869394,684.7556506,714.506418138885,661.009399694393,1008.986557,11,24Step,53.9508899480817,45.8102349158281
156,State/F,698.1198854,627.0126574,389.3536965,511.9394616,677.258426797156,640.253496663628,903.1237441,12,24Step,88.9762787881795,44.753487280489
157,State/F,1646.458339,1561.680773,1610.94517,1785.273043,1648.11467406573,1624.770079332,1484.925422,13,24Step,61.7933659915759,45.8637996123594
158,State/F,918.6895784,836.4337553,490.1605562,612.835149,866.788437415237,858.713134336076,1233.244389,14,24Step,52.4290669085917,45.8498908742955
159,State/F,986.736231,928.0752802,710.5424405,971.3214672,960.180594966842,947.098478899322,1026.518635,15,24Step,48.6611872046,45.8589907166207
160,State/F,897.0826263,835.5324406,604.0631019,913.4509181,864.299698869186,850.857997152153,813.3269864,16,24Step,48.9950202184465,45.8561453725065
161,State/F,657.7117322,586.7109579,508.7253214,665.3589703,612.060662699492,599.956893421933,754.3838139,17,24Step,48.1020098851312,45.855901165167
162,State/F,630.4409238,540.3738894,414.2212477,599.5179528,569.760363594692,554.197974333397,587.5796872,18,24Step,47.987531881569,45.8504100626491
163,State/F,591.6083157,513.5373162,303.1966181,438.2880524,536.79646727587,522.921990826256,576.5367727,19,24Step,47.8829699664138,45.8547436307103
164,State/F,448.446903,376.1152949,278.1716555,379.4802157,407.383002895411,396.510610059351,355.5157126,20,24Step,47.9963123686733,45.8563693693706
165,State/F,535.1369156,465.5656101,218.1627402,333.3241095,487.1511766018,481.746439601251,525.3029738,21,24Step,48.225042302762,45.8553478383006
166,State/F,698.0519011,623.8979014,541.1324171,777.502651,644.105724805345,633.3305096248,895.1803819,22,24Step,48.2439582163403,45.8576367765738
167,State/F,701.2405713,646.5037949,486.8408017,734.4469181,683.62785682044,668.99211748942,852.3135626,23,24Step,52.3222347137912,45.85319572101
168,State/F,696.0287647,627.0126574,347.0347607,554.202666,655.311019405467,641.65089939156,876.3519284,24,24Step,51.1604911460498,45.8497506460202
169,State/G,384.3262552,301.9472533,176.0765386,135.2051351,328.898293499212,289.394083830927,272.2844125,1,24Step,64.6961412101538,43.072596865139
170,State/G,314.8447588,233.6283671,114.8200947,102.224933,194.8838528135,198.879424162843,256.3546634,2,24Step,50.0981846846099,42.409200485114
171,State/G,382.3337709,326.820872,365.2223444,507.2312894,323.926666543347,279.456082012779,411.0762331,3,24Step,50.2328227116305,48.207733285399
172,State/G,454.3035401,393.9928214,323.6063386,506.1426382,405.884509397688,369.252775673843,719.8928672,4,24Step,47.0685308986724,43.2092236789836
173,State/G,558.5804382,484.4157535,311.5359266,362.6207486,502.150957278479,469.925294238584,421.5626016,5,24Step,44.7502540717859,42.8917538372569
174,State/G,682.9494221,589.3983959,471.8457314,540.4546688,630.590159314504,580.80885240305,1192.163127,6,24Step,47.5679100652628,43.1365633999447
175,State/G,893.6151335,823.9458012,640.1363445,714.751307,871.174517921856,837.306938650414,1405.108199,7,24Step,44.7937273673505,42.4002900171909
176,State/G,977.3330739,902.0544151,703.5000949,741.2949236,843.295016524149,807.758633507134,855.8250669,8,24Step,48.2956614843053,42.7830724384081
177,State/G,647.8671748,574.705349,451.3291535,530.9198796,577.585916266738,577.617415399033,459.1374653,9,24Step,44.3285678688172,42.3751664691168
178,State/G,669.2946085,598.0623939,348.2700621,468.8562849,562.289303348249,529.79910812631,843.0337865,10,24Step,45.2849307743541,42.4251481882626
179,State/G,486.6962599,436.0531152,309.2553718,437.0553948,427.053042634794,378.279593937282,490.1765704,11,24Step,49.0147510103826,43.5713594219155
180,State/G,349.1158871,280.8578755,153.6659706,266.0321982,263.121065366333,227.721782557684,416.6209907,12,24Step,70.8892296613272,42.5324865957313
181,State/G,381.720282,301.9472791,35.2593097,152.7597382,298.932645805734,278.049191810016,608.4583232,13,24Step,51.3448870445529,43.5363507089299
182,State/G,313.0668596,233.628387,-19.34893098,77.86323105,200.992679215014,193.292962720938,490.3546422,14,24Step,48.4039840250876,43.5200375694769
183,State/G,380.3618662,326.8208999,256.4707329,518.8734221,286.505807673581,274.571538088182,613.693592,15,24Step,44.4894648963583,43.5587528633359
184,State/G,452.2291768,393.992855,214.5505216,520.2565476,377.395234407096,364.647559335037,465.69675,16,24Step,44.9806664414811,43.5388337389054
185,State/G,556.4276079,484.4157948,244.5631355,379.0374407,476.499967550275,465.533642080618,566.3104436,17,24Step,45.0019057665217,43.5132398745457
186,State/G,680.5816616,589.3984463,395.6844191,574.7898945,590.950101834634,576.27688930325,523.7540981,18,24Step,44.8224506349243,43.504252958547
187,State/G,890.1618038,823.9458715,574.6561528,714.0849295,845.824727632733,832.869078677977,1188.128989,19,24Step,47.1008060505581,43.5059240331492
188,State/G,974.2201869,902.0544921,653.2193889,766.9629179,813.675545807608,803.32830292451,881.1297299,20,24Step,45.6584915386069,43.6970513652033
189,State/G,645.4921626,574.705398,454.3733642,575.4907044,578.014983296242,573.164161712506,1281.288869,21,24Step,44.4082812256884,43.5178783130796
190,State/G,667.3453389,598.0624449,286.9283239,495.3311807,535.481767519133,525.315321112848,467.3101863,22,24Step,48.3428533478245,43.5011965397153
191,State/G,485.3917324,436.0531525,202.7341623,433.2339194,387.407745909191,373.720899551895,593.8705649,23,24Step,47.1199460007647,43.5303126034766
192,State/G,347.9639665,280.8578995,81.44563815,264.6491488,236.427062486978,223.21930839835,501.3885057,24,24Step,45.8786818764249,43.5210495423505
